mq2,mq4,Time
411,106,04/10/2025 0:00
418,106,04/10/2025 0:30
424,125,04/10/2025 1:00
399,99,04/10/2025 1:30
451,100,04/10/2025 2:00
480,109,04/10/2025 2:30
504,111,04/10/2025 3:00
528,112,04/10/2025 3:30
546,111,04/10/2025 4:00
574,111,04/10/2025 4:30
593,111,04/10/2025 5:00
613,111,04/10/2025 5:30
635,109,04/10/2025 6:00
657,109,04/10/2025 6:30
668,108,04/10/2025 7:00
692,108,04/10/2025 7:30
705,108,04/10/2025 8:00
717,109,04/10/2025 8:30
730,111,04/10/2025 9:00
743,100,04/10/2025 9:30
743,94,04/10/2025 10:00
771,98,04/10/2025 10:30
785,82,04/10/2025 11:00
705,76,04/10/2025 11:30
692,66,04/10/2025 12:00
705,72,04/10/2025 12:30
692,71,04/10/2025 13:00
705,69,04/10/2025 13:30
692,69,04/10/2025 14:00
692,70,04/10/2025 14:30
692,71,04/10/2025 15:00
705,73,04/10/2025 15:30
692,103,04/10/2025 16:00
705,85,04/10/2025 16:30
717,86,04/10/2025 17:00
730,87,04/10/2025 17:30
743,87,04/10/2025 18:00
757,87,04/10/2025 18:30
771,89,04/10/2025 19:00
785,89,04/10/2025 19:30
799,89,04/10/2025 20:00
799,89,04/10/2025 20:30
814,89,04/10/2025 21:00
814,89,04/10/2025 21:30
814,89,04/10/2025 22:00
829,89,04/10/2025 22:30
829,89,04/10/2025 23:00
861,82,04/10/2025 23:30
861,82,05/10/2025 0:00
877,81,05/10/2025 0:30
894,80,05/10/2025 1:00
894,79,05/10/2025 1:30
877,80,05/10/2025 2:00
861,80,05/10/2025 2:30
861,80,05/10/2025 3:00
861,79,05/10/2025 3:30
861,79,05/10/2025 4:00
877,77,05/10/2025 4:30
894,79,05/10/2025 5:00
861,80,05/10/2025 5:30
877,80,05/10/2025 6:00
894,80,05/10/2025 6:30
911,79,05/10/2025 7:00
911,79,05/10/2025 7:30
929,78,05/10/2025 8:00
947,78,05/10/2025 8:30
947,77,05/10/2025 9:00
947,77,05/10/2025 9:30
947,76,05/10/2025 10:00
966,74,05/10/2025 10:30
966,85,05/10/2025 11:00
966,69,05/10/2025 11:30
985,69,05/10/2025 12:00
985,69,05/10/2025 12:30
1005,69,05/10/2025 13:00
1005,68,05/10/2025 13:30
1025,68,05/10/2025 14:00
1045,67,05/10/2025 14:30
1045,66,05/10/2025 15:00
1066,65,05/10/2025 15:30
1088,65,05/10/2025 16:00
1088,64,05/10/2025 16:30
1111,64,05/10/2025 17:00
1134,63,05/10/2025 17:30
1134,63,05/10/2025 18:00
1157,62,05/10/2025 18:30
1157,61,05/10/2025 19:00
1181,61,05/10/2025 19:30
1181,61,05/10/2025 20:00
1206,61,05/10/2025 20:30
1206,61,05/10/2025 21:00
1232,60,05/10/2025 21:30
1258,60,05/10/2025 22:00
1258,60,05/10/2025 22:30
1286,59,05/10/2025 23:00
1286,59,05/10/2025 23:30
1313,59,06/10/2025 0:00
1313,59,06/10/2025 0:30
1313,59,06/10/2025 1:00
1342,59,06/10/2025 1:30
1342,59,06/10/2025 2:00
1372,58,06/10/2025 2:30
1372,59,06/10/2025 3:00
1372,59,06/10/2025 3:30
1402,60,06/10/2025 4:00
1372,59,06/10/2025 4:30
1402,59,06/10/2025 5:00
1402,59,06/10/2025 5:30
1402,59,06/10/2025 6:00
1402,59,06/10/2025 6:30
1434,59,06/10/2025 7:00
1434,59,06/10/2025 7:30
1434,60,06/10/2025 8:00
1434,59,06/10/2025 8:30
1434,60,06/10/2025 9:00
1434,60,06/10/2025 9:30
1434,60,06/10/2025 10:00
1434,58,06/10/2025 10:30
1372,60,06/10/2025 11:00
1402,55,06/10/2025 11:30
1313,59,06/10/2025 12:00
1342,59,06/10/2025 12:30
1372,58,06/10/2025 13:00
1372,58,06/10/2025 13:30
1372,57,06/10/2025 14:00
1342,57,06/10/2025 14:30
1342,57,06/10/2025 15:00
1342,57,06/10/2025 15:30
1286,61,06/10/2025 16:00
1258,50,06/10/2025 16:30
1286,59,06/10/2025 17:00
1232,47,06/10/2025 17:30
1258,47,06/10/2025 18:00
1232,47,06/10/2025 18:30
1232,46,06/10/2025 19:00
1181,46,06/10/2025 19:30
1157,45,06/10/2025 20:00
1088,44,06/10/2025 20:30
1111,44,06/10/2025 21:00
894,42,06/10/2025 21:30
947,44,06/10/2025 22:00
911,37,06/10/2025 22:30
911,37,06/10/2025 23:00
877,37,06/10/2025 23:30
845,35,07/10/2025 0:00
