Time,mq2_ppm,mq4_ppm
30000,2,1
60000,2,1
30000,2,1
60000,2,1
90000,2,1
600000,2,1
1200000,5,3
1800000,10,8
2400000,13,12
3000000,15,17
3600000,17,21
4200000,18,25
4800000,19,29
5400000,19,31
6000000,20,33
6600000,20,35
7200000,20,37
7800000,20,38
8400000,20,39
9000000,20,40
9600000,20,41
10200000,20,42
10800000,20,42
11400000,20,43
12000000,19,43
12600000,19,44
13200000,19,44
13800000,19,44
14400000,18,45
15000000,18,44
15600000,18,44
16200000,17,44
16800000,17,44
17400000,17,44
18000000,17,44
18600000,16,44
19200000,16,44
19800000,16,45
20400000,16,45
21000000,15,44
21600000,15,44
22200000,15,44
22800000,15,43
23400000,14,43
24000000,14,44
24600000,14,44
25200000,14,44
25800000,14,44
26400000,13,44
27000000,13,44
27600000,13,44
28200000,13,43
28800000,12,43
29400000,12,43
30000000,12,43
30600000,12,42
31200000,12,42
31800000,11,42
32400000,11,42
33000000,11,42
33600000,11,42
34200000,11,42
34800000,11,42
35400000,10,41
36000000,10,41
36600000,10,41
37200000,10,41
37800000,10,41
38400000,10,41
39000000,10,41
39600000,9,40
40200000,9,40
40800000,9,40
41400000,9,40
42000000,9,40
42600000,9,40
43200000,9,40
43800000,9,40
44400000,9,40
45000000,8,40
45600000,8,40
46200000,8,39
46800000,8,39
47400000,8,39
48000000,8,39
48600000,8,39
49200000,8,39
49800000,8,39
50400000,8,39
51000000,8,39
51600000,7,39
52200000,7,39
52800000,7,39
53400000,7,39
54000000,7,39
54600000,7,39
55200000,7,39
55800000,7,38
56400000,7,38
57000000,7,38
57600000,7,38
58200000,7,38
58800000,7,38
59400000,7,38
60000000,7,38
60600000,7,38
61200000,6,39
61800000,7,37
62400000,7,37
63000000,7,37
63600000,7,37
64200000,6,37
64800000,6,37
65400000,6,37
66000000,6,37
66600000,6,37
67200000,6,37
67800000,6,37
68400000,6,37
69000000,6,37
69600000,6,37
70200000,6,37
70800000,6,37
71400000,6,37
72000000,6,37
72600000,6,37
73200000,6,37
73800000,6,37
74400000,6,37
75000000,6,37
75600000,6,37
76200000,6,37
76800000,6,37
77400000,6,38
78000000,6,38
78600000,6,38
79200000,6,37
600000,5,41
1200000,6,35
1800000,6,36
2400000,6,36
3000000,6,36
3600000,6,36
4200000,6,42
4800000,6,42
5400000,6,41
6000000,6,41
6600000,5,42
7200000,5,42
7800000,5,42
8400000,5,42
9000000,5,42
9600000,5,42
10200000,5,42
10800000,5,42
11400000,5,42
12000000,5,42
12600000,5,42
13200000,5,42
13800000,5,42
14400000,5,42
15000000,5,42
15600000,5,43
16200000,5,43
16800000,5,43
17400000,5,43
18000000,5,43
18600000,5,43
19200000,5,43
19800000,5,43
20400000,5,43
21000000,5,44
21600000,5,44
22200000,5,44
22800000,5,44
23400000,5,44
24000000,5,44
24600000,5,44
25200000,5,44
25800000,5,44
26400000,5,44
27000000,5,44
27600000,5,44
28200000,5,44
28800000,5,44
29400000,5,44
30000000,5,44
30600000,5,45
31200000,5,45
31800000,5,45
32400000,5,45
33000000,5,45
33600000,5,45
34200000,5,45
34800000,5,45
35400000,5,45
36000000,5,46
36600000,5,46
37200000,5,47
37800000,5,47
38400000,5,47
39000000,5,48
39600000,5,48
40200000,5,48
40800000,5,48
41400000,5,48
42000000,5,48
42600000,5,48
43200000,5,48
43800000,5,49
44400000,5,49
45000000,5,49
45600000,5,49
46200000,5,49
46800000,5,49
47400000,5,49
48000000,5,50
48600000,5,50
49200000,5,50
49800000,5,51
50400000,3,104
51000000,3,107
51600000,3,107
52200000,3,107
52800000,3,105
53400000,4,105
54000000,4,104
54600000,4,104
55200000,4,103
55800000,4,102
56400000,4,101
57000000,4,101
57600000,4,101
58200000,4,98
58800000,4,98
59400000,4,97
60000000,4,97
60600000,4,96
61200000,4,96
61800000,4,95
62400000,4,95
63000000,4,94
63600000,4,93
64200000,4,93
64800000,4,93
65400000,4,92
66000000,4,92
66600000,4,92
67200000,4,91
67800000,4,90
68400000,4,90
69000000,4,90
69600000,4,89
70200000,4,89
70800000,4,88
71400000,4,87
72000000,4,87
72600000,4,87
73200000,4,87
73800000,4,86
74400000,4,86
75000000,4,86
75600000,4,85
76200000,4,85
76800000,4,84
77400000,4,84
78000000,4,83
78600000,4,83
79200000,4,83
79800000,4,83
80400000,4,82
81000000,4,82
81600000,4,81
82200000,4,81
82800000,4,81
83400000,4,81
84000000,4,81
84600000,4,81
85200000,4,80
85800000,4,80
86400000,4,80
