Time,mq2_GI,mq4_GI
0:51:03,0,0
1:01:03,0,0
1:21:03,11,9
1:31:03,16,14
1:41:03,20,18
1:51:03,24,23
2:01:03,27,27
2:11:03,29,31
2:21:03,32,34
2:31:03,33,36
2:41:03,35,39
2:51:03,36,41
3:01:03,37,44
3:11:03,37,45
3:21:03,37,46
3:31:03,38,47
3:41:03,38,49
3:51:03,38,50
4:01:03,38,51
4:11:03,38,53
4:21:03,38,54
4:31:03,38,54
4:41:03,37,54
4:51:03,37,54
5:01:03,36,54
5:11:03,36,54
5:21:03,35,54
5:31:03,35,54
5:41:03,35,54
5:51:03,34,54
6:01:03,34,54
6:11:03,34,55
6:21:03,33,55
6:31:03,33,56
6:41:03,33,56
6:51:03,32,55
7:01:03,32,55
7:11:03,31,55
7:21:03,31,55
7:31:03,30,54
7:41:03,30,54
7:51:03,30,54
8:01:03,29,54
8:11:03,29,54
8:21:03,28,54
8:31:03,28,53
8:41:03,28,53
8:51:03,27,53
9:01:03,27,53
9:11:03,27,53
9:21:03,26,53
9:31:03,26,53
9:41:03,26,53
9:51:03,25,53
10:01:03,25,53
10:11:03,25,53
10:21:03,24,53
10:31:03,24,53
10:41:03,24,53
10:51:03,23,53
11:01:03,23,53
11:11:03,23,53
11:21:03,23,53
11:31:03,22,53
11:41:03,22,53
11:51:03,22,53
12:01:03,22,53
12:11:03,21,53
12:21:03,21,53
12:31:03,21,53
12:41:03,21,52
12:51:03,20,52
13:01:03,20,52
13:11:03,20,52
13:21:03,20,52
13:31:03,19,52
13:41:03,19,52
13:51:03,19,52
14:01:03,19,52
14:11:03,19,52
14:21:03,18,52
14:31:03,18,52
14:41:03,18,52
14:51:03,18,52
15:01:03,18,52
15:11:03,17,52
15:21:03,17,52
15:31:03,17,52
15:41:03,17,52
15:51:03,17,52
16:01:03,17,52
16:11:03,16,52
16:21:03,16,52
16:31:03,16,52
0:10:00,16,56
0:20:00,16,55
0:30:00,16,54
0:40:00,16,54
0:50:00,16,54
1:00:00,16,53
1:10:00,16,53
1:20:00,16,53
1:30:00,16,53
1:40:00,15,52
1:50:00,15,52
2:00:00,15,52
2:10:00,15,52
2:20:00,15,52
2:30:00,15,52
2:40:00,15,52
2:50:00,15,52
3:00:00,15,52
3:10:00,14,52
3:20:00,14,51
3:30:00,14,51
3:40:00,14,51
3:50:00,14,51
4:00:00,14,51
4:10:00,14,51
4:20:00,14,51
4:30:00,14,51
4:40:00,14,51
4:50:00,14,51
5:00:00,13,51
5:10:00,13,51
5:20:00,13,51
5:30:00,13,51
5:40:00,13,51
5:50:00,13,51
6:00:00,13,51
6:10:00,13,51
6:20:00,13,51
6:30:00,13,51
6:40:00,13,51
6:50:00,13,51
7:00:00,13,51
7:10:00,13,51
7:20:00,13,51
7:30:00,13,51
7:40:00,13,51
7:50:00,13,51
8:00:00,13,51
8:10:00,13,51
8:20:00,13,51
8:30:00,13,52
8:40:00,13,52
8:50:00,13,52
9:00:00,13,52
9:10:00,13,52
9:20:00,13,52
9:30:00,13,53
9:40:00,13,53
9:50:00,12,53
10:00:00,13,53
10:10:00,13,54
10:20:00,13,54
10:30:00,13,54
10:40:00,13,55
10:50:00,13,55
11:00:00,13,55
11:10:00,13,55
11:20:00,13,56
11:30:00,13,56
11:40:00,13,56
11:50:00,13,56
12:00:00,13,56
12:10:00,13,57
12:20:00,14,58
12:30:00,14,58
12:40:00,14,58
12:50:00,14,59
13:00:00,15,60
13:10:00,15,60
13:20:00,15,61
13:30:00,15,60
13:40:00,15,61
13:50:00,15,61
14:00:00,15,61
14:10:00,16,62
14:20:00,16,62
14:30:00,16,62
14:40:00,16,63
14:50:00,16,63
15:00:00,16,63
15:10:00,16,63
15:20:00,17,63
15:30:00,17,63
15:40:00,17,64
15:50:00,17,64
16:00:00,17,64
16:10:00,17,64
16:20:00,17,64
16:30:00,18,65
16:40:00,18,65
16:50:00,18,66
17:00:00,18,65
17:10:00,17,64
17:20:00,17,64
17:30:00,16,63
17:40:00,16,63
17:50:00,16,63
18:00:00,16,62
18:10:00,16,62
18:20:00,16,62
18:30:00,16,62
18:40:00,16,62
18:50:00,16,62
19:00:00,16,62
19:10:00,16,62
19:20:00,16,62
19:30:00,16,62
19:40:00,16,63
19:50:00,16,63
20:00:00,16,63
20:10:00,16,63
20:20:00,16,63
20:30:00,16,63
20:40:00,16,63
20:50:00,16,63
21:00:00,16,63
21:10:00,16,63
21:20:00,16,63
21:30:00,16,64
21:40:00,16,64
21:50:00,16,64
22:00:00,16,64
22:10:00,16,64
22:20:00,16,64
22:30:00,16,64
22:40:00,16,64
22:50:00,16,64
23:00:00,16,65
23:10:00,16,65
23:20:00,16,65
23:30:00,16,65
23:40:00,16,65
23:50:00,16,65
24:00:00,16,65
