Time,mq2_ppm,mq4_ppm
00:00:00,2,1
00:10:00,2,1
00:20:00,2,1
00:30:00,2,1
00:40:00,2,1
00:50:00,2,1
01:00:00,5,3
01:10:00,10,8
01:20:00,13,12
01:30:00,15,17
01:40:00,17,21
01:50:00,18,25
02:00:00,19,29
02:10:00,19,31
02:20:00,20,33
02:30:00,20,35
02:40:00,20,37
02:50:00,20,38
03:00:00,20,39
03:10:00,20,40
03:20:00,20,41
03:30:00,20,42
03:40:00,20,42
03:50:00,20,43
04:00:00,19,43
04:10:00,19,44
04:20:00,19,44
04:30:00,19,44
04:40:00,18,45
04:50:00,18,44
05:00:00,18,44
05:10:00,17,44
05:20:00,17,44
05:30:00,17,44
05:40:00,17,44
05:50:00,16,44
06:00:00,16,44
06:10:00,16,45
06:20:00,16,45
06:30:00,15,44
06:40:00,15,44
06:50:00,15,44
07:00:00,15,43
07:10:00,14,43
07:20:00,14,44
07:30:00,14,44
07:40:00,14,44
07:50:00,14,44
08:00:00,13,44
08:10:00,13,44
08:20:00,13,44
08:30:00,13,43
08:40:00,12,43
08:50:00,12,43
09:00:00,12,43
09:10:00,12,42
09:20:00,12,42
09:30:00,11,42
09:40:00,11,42
09:50:00,11,42
10:00:00,11,42
10:10:00,11,42
10:20:00,11,42
10:30:00,10,41
10:40:00,10,41
10:50:00,10,41
11:00:00,10,41
11:10:00,10,41
11:20:00,10,41
11:30:00,10,41
11:40:00,9,40
11:50:00,9,40
12:00:00,9,40
12:10:00,9,40
12:20:00,9,40
12:30:00,9,40
12:40:00,9,40
12:50:00,9,40
13:00:00,9,40
13:10:00,8,40
13:20:00,8,40
13:30:00,8,39
13:40:00,8,39
13:50:00,8,39
14:00:00,8,39
14:10:00,8,39
14:20:00,8,39
14:30:00,8,39
14:40:00,8,39
14:50:00,8,39
15:00:00,7,39
15:10:00,7,39
15:20:00,7,39
15:30:00,7,39
15:40:00,7,39
15:50:00,7,39
16:00:00,7,39
16:10:00,7,38
16:20:00,7,38
16:30:00,7,38
16:40:00,7,38
16:50:00,7,38
17:00:00,7,38
17:10:00,7,38
17:20:00,7,38
17:30:00,7,38
17:40:00,6,39
17:50:00,7,37
18:00:00,7,37
18:10:00,7,37
18:20:00,7,37
18:30:00,6,37
18:40:00,6,37
18:50:00,6,37
19:00:00,6,37
19:10:00,6,37
19:20:00,6,37
19:30:00,6,37
19:40:00,6,37
19:50:00,6,37
20:00:00,6,37
20:10:00,6,37
20:20:00,6,37
20:30:00,6,37
20:40:00,6,37
20:50:00,6,37
21:00:00,6,37
21:10:00,6,37
21:20:00,6,37
21:30:00,6,37
21:40:00,6,37
21:50:00,6,37
22:00:00,6,37
22:10:00,6,38
22:20:00,6,38
22:30:00,6,38
22:40:00,6,37
22:50:00,5,41
23:00:00,6,35
23:10:00,6,36
23:20:00,6,36
23:30:00,6,36
23:40:00,6,36
23:50:00,6,42
00:00:00,6,42
00:10:00,6,41
00:20:00,6,41
00:30:00,5,42
00:40:00,5,42
00:50:00,5,42
01:00:00,5,42
01:10:00,5,42
01:20:00,5,42
01:30:00,5,42
01:40:00,5,42
01:50:00,5,42
02:00:00,5,42
02:10:00,5,42
02:20:00,5,42
02:30:00,5,42
02:40:00,5,42
02:50:00,5,42
03:00:00,5,43
03:10:00,5,43
03:20:00,5,43
03:30:00,5,43
03:40:00,5,43
03:50:00,5,43
04:00:00,5,43
04:10:00,5,43
04:20:00,5,43
04:30:00,5,44
04:40:00,5,44
04:50:00,5,44
05:00:00,5,44
05:10:00,5,44
05:20:00,5,44
05:30:00,5,44
05:40:00,5,44
05:50:00,5,44
06:00:00,5,44
06:10:00,5,44
06:20:00,5,44
06:30:00,5,44
06:40:00,5,44
06:50:00,5,44
07:00:00,5,44
07:10:00,5,45
07:20:00,5,45
07:30:00,5,45
07:40:00,5,45
07:50:00,5,45
08:00:00,5,45
08:10:00,5,45
08:20:00,5,45
08:30:00,5,45
08:40:00,5,46
08:50:00,5,46
09:00:00,5,47
09:10:00,5,47
09:20:00,5,47
09:30:00,5,48
09:40:00,5,48
09:50:00,5,48
10:00:00,5,48
10:10:00,5,48
10:20:00,5,48
10:30:00,5,48
10:40:00,5,48
10:50:00,5,49
11:00:00,5,49
11:10:00,5,49
11:20:00,5,49
11:30:00,5,49
11:40:00,5,49
11:50:00,5,49
12:00:00,5,50
12:10:00,5,50
12:20:00,5,50
12:30:00,5,51
12:40:00,3,104
12:50:00,3,107
13:00:00,3,107
13:10:00,3,107
13:20:00,3,105
13:30:00,4,105
13:40:00,4,104
13:50:00,4,104
14:00:00,4,103
14:10:00,4,102
14:20:00,4,101
14:30:00,4,101
14:40:00,4,101
14:50:00,4,98
15:00:00,4,98
15:10:00,4,97
15:20:00,4,97
15:30:00,4,96
15:40:00,4,96
15:50:00,4,95
16:00:00,4,95
16:10:00,4,94
16:20:00,4,93
16:30:00,4,93
16:40:00,4,93
16:50:00,4,92
17:00:00,4,92
17:10:00,4,92
17:20:00,4,91
17:30:00,4,90
17:40:00,4,90
17:50:00,4,90
18:00:00,4,89
18:10:00,4,89
18:20:00,4,88
18:30:00,4,87
18:40:00,4,87
18:50:00,4,87
19:00:00,4,87
19:10:00,4,86
19:20:00,4,86
19:30:00,4,86
19:40:00,4,85
19:50:00,4,85
20:00:00,4,84
20:10:00,4,84
20:20:00,4,83
20:30:00,4,83
20:40:00,4,83
20:50:00,4,83
21:00:00,4,82
21:10:00,4,82
21:20:00,4,81
21:30:00,4,81
21:40:00,4,81
21:50:00,4,81
22:00:00,4,81
22:10:00,4,81
22:20:00,4,80
22:30:00,4,80
22:40:00,4,80
