Time,mq2_GI,mq4_GI
00:00:00,0,0
00:10:00,0,0
00:20:00,11,9
00:30:00,16,14
00:40:00,20,18
00:50:00,24,23
01:00:00,27,27
01:10:00,29,31
01:20:00,32,34
01:30:00,33,36
01:40:00,35,39
01:50:00,36,41
02:00:00,37,44
02:10:00,37,45
02:20:00,37,46
02:30:00,38,47
02:40:00,38,49
02:50:00,38,50
03:00:00,38,51
03:10:00,38,53
03:20:00,38,54
03:30:00,38,54
03:40:00,37,54
03:50:00,37,54
04:00:00,36,54
04:10:00,36,54
04:20:00,35,54
04:30:00,35,54
04:40:00,35,54
04:50:00,34,54
05:00:00,34,54
05:10:00,34,55
05:20:00,33,55
05:30:00,33,56
05:40:00,33,56
05:50:00,32,55
06:00:00,32,55
06:10:00,31,55
06:20:00,31,55
06:30:00,30,54
06:40:00,30,54
06:50:00,30,54
07:00:00,29,54
07:10:00,29,54
07:20:00,28,54
07:30:00,28,53
07:40:00,28,53
07:50:00,27,53
08:00:00,27,53
08:10:00,27,53
08:20:00,26,53
08:30:00,26,53
08:40:00,26,53
08:50:00,25,53
09:00:00,25,53
09:10:00,25,53
09:20:00,24,53
09:30:00,24,53
09:40:00,24,53
09:50:00,23,53
10:00:00,23,53
10:10:00,23,53
10:20:00,23,53
10:30:00,22,53
10:40:00,22,53
10:50:00,22,53
11:00:00,22,53
11:10:00,21,53
11:20:00,21,53
11:30:00,21,53
11:40:00,21,52
11:50:00,20,52
12:00:00,20,52
12:10:00,20,52
12:20:00,20,52
12:30:00,19,52
12:40:00,19,52
12:50:00,19,52
13:00:00,19,52
13:10:00,19,52
13:20:00,18,52
13:30:00,18,52
13:40:00,18,52
13:50:00,18,52
14:00:00,18,52
14:10:00,17,52
14:20:00,17,52
14:30:00,17,52
14:40:00,17,52
14:50:00,17,52
15:00:00,17,52
15:10:00,16,52
15:20:00,16,52
15:30:00,16,52
15:40:00,16,56
15:50:00,16,55
16:00:00,16,54
16:10:00,16,54
16:20:00,16,54
16:30:00,16,53
16:40:00,16,53
16:50:00,16,53
17:00:00,16,53
17:10:00,15,52
17:20:00,15,52
17:30:00,15,52
17:40:00,15,52
17:50:00,15,52
18:00:00,15,52
18:10:00,15,52
18:20:00,15,52
18:30:00,15,52
18:40:00,14,52
18:50:00,14,51
19:00:00,14,51
19:10:00,14,51
19:20:00,14,51
19:30:00,14,51
19:40:00,14,51
19:50:00,14,51
20:00:00,14,51
20:10:00,14,51
20:20:00,14,51
20:30:00,13,51
20:40:00,13,51
20:50:00,13,51
21:00:00,13,51
21:10:00,13,51
21:20:00,13,51
21:30:00,13,51
21:40:00,13,51
21:50:00,13,51
22:00:00,13,51
22:10:00,13,51
22:20:00,13,51
22:30:00,13,51
22:40:00,13,51
22:50:00,13,51
23:00:00,13,51
23:10:00,13,51
23:20:00,13,51
23:30:00,13,51
23:40:00,13,51
23:50:00,13,51
00:00:00,13,52
00:10:00,13,52
00:20:00,13,52
00:30:00,13,52
00:40:00,13,52
00:50:00,13,52
01:00:00,13,53
01:10:00,13,53
01:20:00,12,53
01:30:00,13,53
01:40:00,13,54
01:50:00,13,54
02:00:00,13,54
02:10:00,13,55
02:20:00,13,55
02:30:00,13,55
02:40:00,13,55
02:50:00,13,56
03:00:00,13,56
03:10:00,13,56
03:20:00,13,56
03:30:00,13,56
03:40:00,13,57
03:50:00,14,58
04:00:00,14,58
04:10:00,14,58
04:20:00,14,59
04:30:00,15,60
04:40:00,15,60
04:50:00,15,61
05:00:00,15,60
05:10:00,15,61
05:20:00,15,61
05:30:00,15,61
05:40:00,16,62
05:50:00,16,62
06:00:00,16,62
06:10:00,16,63
06:20:00,16,63
06:30:00,16,63
06:40:00,16,63
06:50:00,17,63
07:00:00,17,63
07:10:00,17,64
07:20:00,17,64
07:30:00,17,64
07:40:00,17,64
07:50:00,17,64
08:00:00,18,65
08:10:00,18,65
08:20:00,18,66
08:30:00,18,65
08:40:00,17,64
08:50:00,17,64
09:00:00,16,63
09:10:00,16,63
09:20:00,16,63
09:30:00,16,62
09:40:00,16,62
09:50:00,16,62
10:00:00,16,62
10:10:00,16,62
10:20:00,16,62
10:30:00,16,62
10:40:00,16,62
10:50:00,16,62
11:00:00,16,62
11:10:00,16,63
11:20:00,16,63
11:30:00,16,63
11:40:00,16,63
11:50:00,16,63
12:00:00,16,63
12:10:00,16,63
12:20:00,16,63
12:30:00,16,63
12:40:00,16,63
12:50:00,16,63
13:00:00,16,64
13:10:00,16,64
13:20:00,16,64
13:30:00,16,64
13:40:00,16,64
13:50:00,16,64
14:00:00,16,64
14:10:00,16,64
14:20:00,16,64
14:30:00,16,65
14:40:00,16,65
14:50:00,16,65
15:00:00,16,65
15:10:00,16,65
15:20:00,16,65
15:30:00,16,65
