mq2,mq4,Time
5,7,36:13.0
5,7,36:28.0
5,7,36:42.6
5,6,36:57.6
5,6,37:12.6
5,6,37:27.6
5,6,37:42.6
5,6,37:57.6
5,6,38:12.6
5,6,38:27.6
5,6,38:57.6
5,6,39:12.6
5,6,39:27.6
5,6,39:42.6
5,6,39:57.6
5,6,40:12.6
5,6,40:27.6
5,6,40:42.6
5,6,40:57.6
5,6,41:12.6
5,6,41:27.6
5,6,41:42.6
5,6,41:57.6
5,6,42:12.6
5,6,42:27.6
5,6,42:42.6
5,6,42:57.6
5,6,43:12.6
5,6,43:27.6
5,6,43:42.6
5,6,43:57.6
5,6,44:12.6
5,6,44:27.6
5,5,44:42.6
5,5,44:57.6
5,6,45:12.6
5,6,45:27.6
5,6,45:42.6
5,6,45:57.6
5,6,46:12.6
5,6,46:27.6
5,6,46:42.6
5,6,46:57.6
5,6,47:12.6
5,6,47:27.6
5,6,47:42.6
5,6,47:57.6
5,6,48:12.6
5,5,48:27.6
5,6,48:42.6
5,6,48:57.6
5,6,49:12.6
5,6,49:27.6
5,6,49:42.6
5,6,49:57.6
5,6,50:12.6
5,6,50:27.6
5,6,50:42.6
5,6,50:57.6
5,6,51:12.6
5,6,51:27.6
5,6,51:42.6
5,6,51:57.6
5,6,52:12.6
5,6,52:27.6
5,5,52:42.6
5,6,52:57.6
5,6,53:12.6
5,6,53:27.6
5,6,53:42.6
5,6,53:57.6
5,6,54:12.6
5,6,54:27.6
5,6,54:42.6
5,6,54:57.6
5,6,55:12.6
4,6,55:27.6
5,6,55:42.6
4,5,55:57.6
5,5,56:12.6
5,5,56:27.6
4,5,56:42.6
5,5,56:57.6
4,6,57:12.6
5,5,57:27.6
5,5,57:42.6
4,5,57:57.6
5,5,58:12.6
5,6,58:27.6
5,5,58:42.6
4,5,58:57.6
5,5,59:12.6
5,5,59:27.6
4,6,59:42.6
5,6,59:57.6
4,6,00:12.6
4,5,00:27.6
4,4,00:42.6
3,4,00:57.6
3,3,01:12.6
3,3,01:27.6
3,3,01:42.6
3,3,01:57.6
3,3,02:12.6
3,3,02:27.6
7,5,02:42.6
4,4,02:57.6
4,4,03:12.6
4,3,03:27.6
4,3,03:42.6
5,4,03:57.6
5,4,04:12.6
5,4,04:27.6
5,4,04:42.6
5,4,04:57.6
5,4,05:12.6
5,4,05:27.6
5,4,05:42.6
5,4,05:57.6
5,4,06:12.6
5,4,06:27.6
5,4,06:42.6
6,4,06:57.6
6,4,07:12.6
6,4,07:27.6
6,4,07:42.6
5,5,07:57.6
6,5,08:12.6
6,4,08:27.6
6,4,08:42.6
6,5,08:57.6
6,5,09:12.6
6,5,09:27.6
6,5,09:42.6
5,5,09:57.6
6,5,10:12.6
6,5,10:27.6
6,5,10:42.6
6,5,10:57.6
6,5,11:12.6
6,5,11:27.6
6,5,11:42.6
6,5,11:57.6
6,5,12:12.6
6,5,12:27.6
6,5,12:42.6
6,5,12:57.6
6,5,13:12.6
30,12,13:27.6
8,8,13:42.6
7,6,13:57.6
7,6,14:12.6
8,6,14:27.6
8,6,14:42.6
8,6,14:57.6
7,6,15:12.6
9,6,15:27.6
8,6,15:42.6
8,6,15:57.6
8,6,16:12.6
8,6,16:27.6
8,6,16:42.6
8,6,16:57.6
9,7,17:12.6
10,7,17:27.6
10,8,17:42.6
10,8,17:57.6
10,8,18:12.6
10,8,18:27.6
10,8,18:42.6
10,9,18:57.6
10,9,19:12.6
10,9,19:27.6
10,9,19:42.6
10,9,19:57.6
10,9,20:12.6
10,9,20:27.6
10,9,20:42.6
10,10,20:57.6
10,10,21:12.6
10,9,21:27.6
10,9,21:42.6
10,9,21:57.6
10,10,22:12.6
9,9,22:27.6
9,9,22:42.6
9,9,22:57.6
9,9,23:12.6
9,9,23:27.6
9,9,23:42.6
9,10,23:57.6
9,9,24:12.6
9,9,24:27.6
9,9,24:42.6
9,9,24:57.6
9,9,25:12.6
9,9,25:27.6
10,9,25:42.6
11,11,25:57.6
10,10,26:12.6
9,10,26:27.6
9,10,26:42.6
9,10,26:57.6
9,9,27:12.6
9,10,27:27.6
9,9,27:42.6
9,10,27:57.6
9,9,28:12.6
9,10,28:27.6
9,10,28:42.6
9,10,28:57.6
9,9,29:12.6
9,9,29:27.6
9,9,29:42.6
9,10,29:57.6
9,10,30:12.6
9,9,30:27.6
9,9,30:42.6
8,9,30:57.6
8,9,31:12.6
8,9,31:27.6
8,9,31:42.6
8,9,31:57.6
8,9,32:12.6
8,8,32:27.6
8,9,32:42.6
8,9,32:57.6
8,9,33:12.6
8,8,33:27.6
8,8,33:42.6
8,9,33:57.6
8,9,34:12.6
8,9,34:27.6
8,9,34:42.6
8,9,34:57.6
8,9,35:12.6
7,9,35:27.6
7,8,35:42.6
7,9,35:57.6
7,9,36:12.6
7,8,36:27.6
7,9,36:42.6
7,9,36:57.6
7,8,37:12.6
7,8,37:27.6
7,7,37:42.6
7,7,37:57.6
7,8,38:12.6
7,8,38:27.6
7,8,38:42.6
7,7,38:57.6
7,7,39:12.6
7,8,39:27.6
7,7,39:42.6
7,7,39:57.6
7,7,40:12.6
7,7,40:27.6
7,7,40:42.6
7,8,40:57.6
6,8,41:12.6
6,6,41:27.6
5,5,41:42.6
6,5,41:57.6
6,5,42:12.6
6,5,42:27.6
6,5,42:42.6
6,5,42:57.6
6,4,43:12.6
6,4,43:27.6
6,4,43:42.6
6,4,43:57.6
6,4,44:12.6
6,4,44:27.6
6,4,44:42.6
6,4,44:57.6
6,4,45:12.6
6,4,45:27.6
6,4,45:42.6
6,4,45:57.6
6,4,46:12.6
6,4,46:27.6
6,4,46:42.6
6,4,46:57.6
6,4,47:12.6
6,4,47:27.6
6,4,47:42.6
6,4,47:57.6
6,4,48:12.6
6,4,48:27.6
6,4,48:42.6
6,4,48:57.6
6,4,49:12.6
6,4,49:27.6
6,4,49:42.6
7,5,49:57.6
7,5,50:12.6
7,5,50:27.6
8,5,50:42.6
8,6,50:57.6
8,6,51:12.6
7,5,51:27.6
8,5,51:42.6
8,5,51:57.6
7,5,52:12.6
8,5,52:27.6
7,5,52:42.6
8,5,52:57.6
8,5,53:12.6
8,5,53:27.6
8,5,53:42.6
8,5,53:57.6
7,5,54:12.6
8,5,54:27.6
8,5,54:42.6
8,5,54:57.6
7,5,55:12.6
8,5,55:27.6
8,5,55:42.6
8,5,55:57.6
8,5,56:12.6
8,5,56:27.6
8,5,56:42.6
8,5,56:57.6
8,5,57:12.6
7,5,57:27.6
8,5,57:42.6
7,5,57:57.6
7,5,58:12.6
7,5,58:27.6
7,5,58:42.6
7,5,58:57.6
7,5,59:12.6
7,5,59:27.6
7,5,59:42.6
7,5,59:57.6
7,5,00:12.6
7,5,00:27.6
7,5,00:42.6
7,5,00:57.6
7,5,01:12.6
7,5,01:27.6
7,5,01:42.6
7,5,01:57.6
7,5,02:12.6
7,5,02:27.6
7,5,02:42.6
7,5,02:57.6
7,5,03:12.6
7,5,03:27.6
8,5,03:42.6
7,5,03:57.6
8,5,04:12.6
7,5,04:27.6
7,5,04:42.6
7,5,04:57.6
7,5,05:12.6
7,5,05:27.6
7,5,05:42.6
7,5,05:57.6
7,5,06:12.6
7,5,06:27.6
7,5,06:42.6
7,5,06:57.6
7,5,07:12.6
7,5,07:27.6
7,5,07:42.6
7,5,07:57.6
7,5,08:12.6
7,5,08:27.6
7,5,08:42.6
7,5,08:57.6
7,5,09:12.6
7,5,09:27.6
7,5,09:42.6
7,5,09:57.6
7,5,10:12.6
7,5,10:27.6
7,5,10:42.6
7,5,10:57.6
7,5,11:12.6
7,5,11:27.6
7,5,11:42.6
7,5,11:57.6
7,5,12:12.6
7,5,12:27.6
7,5,12:42.6
7,5,12:57.6
7,5,13:12.6
7,5,13:27.6
7,5,13:42.6
7,5,13:57.6
7,5,14:12.6
7,5,14:27.6
7,5,14:42.6
7,5,14:57.6
7,5,15:12.6
7,5,15:27.6
7,5,15:42.6
7,5,15:57.6
7,5,16:12.6
7,5,16:27.6
7,5,16:42.6
7,4,16:57.6
7,5,17:12.6
7,5,17:27.6
7,5,17:42.6
7,5,17:57.6
7,5,18:12.6
7,5,18:27.6
7,5,18:42.6
7,5,18:57.6
7,5,19:12.6
7,5,19:27.6
7,4,19:42.6
7,4,19:57.6
7,5,20:12.6
7,5,20:27.6
7,5,20:42.6
7,4,20:57.6
7,5,21:12.6
7,5,21:27.6
7,4,21:42.6
7,4,21:57.6
7,4,22:12.6
7,4,22:27.6
7,4,22:42.6
7,4,22:57.6
7,4,23:12.6
7,4,23:27.6
7,4,23:42.6
7,4,23:57.6
7,4,24:12.6
7,5,24:27.6
7,5,24:42.6
7,5,24:57.6
7,4,25:12.6
7,4,25:27.6
7,4,25:42.6
7,4,25:57.6
7,4,26:12.6
7,4,26:27.6
7,4,26:42.6
7,4,26:57.6
7,4,27:12.6
7,4,27:27.6
7,4,27:42.6
7,4,27:57.6
7,4,28:12.6
7,4,28:27.6
7,4,28:42.6
7,4,28:57.6
7,4,29:12.6
7,4,29:27.6
7,4,29:42.6
7,4,29:57.6
7,4,30:12.6
7,4,30:27.6
7,4,30:42.6
7,4,30:57.6
7,4,31:12.6
7,4,31:27.6
7,4,31:42.6
7,4,31:57.6
7,4,32:12.6
7,4,32:27.6
7,4,32:42.6
7,4,32:57.6
7,4,33:12.6
7,4,33:27.6
7,4,33:42.6
7,4,33:57.6
7,4,34:12.6
7,4,34:27.6
7,4,34:42.6
7,4,34:57.6
7,4,35:12.6
7,4,35:27.6
7,4,35:42.6
7,4,35:57.6
7,4,36:12.6
7,4,36:27.6
7,4,36:42.6
7,4,36:57.6
7,4,37:12.6
7,4,37:27.6
7,4,37:42.6
7,4,37:57.6
7,4,38:12.6
7,4,38:27.6
7,4,38:42.6
7,4,38:57.6
13,4,39:12.6
18,5,39:27.6
18,16,39:42.6
15,17,39:57.6
14,23,40:12.6
14,25,40:27.6
13,25,40:42.6
11,20,40:57.6
9,15,41:12.6
8,12,41:27.6
8,11,41:42.6
8,12,41:57.6
9,13,42:12.6
9,15,42:27.6
9,15,42:42.6
9,14,42:57.6
9,14,43:12.6
9,14,43:27.6
9,15,43:42.6
9,16,43:57.6
9,16,44:12.6
9,16,44:27.6
9,16,44:42.6
9,16,44:57.6
9,16,45:12.6
9,15,45:27.6
9,15,45:42.6
9,15,45:57.6
9,15,46:12.6
9,15,46:27.6
9,15,46:42.6
9,15,46:57.6
9,15,47:12.6
9,15,47:27.6
9,15,47:42.6
9,15,47:57.6
9,15,48:12.6
9,15,48:27.6
9,15,48:42.6
8,15,48:57.6
8,15,49:12.6
8,15,49:27.6
8,15,49:42.6
8,14,49:57.6
8,14,50:12.6
8,14,50:27.6
8,14,50:42.6
8,14,50:57.6
8,14,51:12.6
8,14,51:27.6
8,14,51:42.6
8,14,51:57.6
8,14,52:12.6
8,14,52:27.6
8,14,52:42.6
8,14,52:57.6
8,14,53:12.6
8,14,53:27.6
8,14,53:42.6
8,14,53:57.6
8,14,54:12.6
8,14,54:27.6
8,14,54:42.6
8,14,54:57.6
