mq2,mq4,Time
5,7,36:13.0
5,6,45:12.6
4,6,00:12.6
7,6,15:12.6
9,10,30:12.6
6,4,45:12.6
7,5,00:12.6
7,5,15:12.6
7,4,30:12.6
9,16,45:12.6
8,13,00:12.6
7,12,15:12.6
7,11,30:12.6
7,10,45:12.6
7,9,00:12.6
8,9,15:12.6
9,8,30:12.6
11,8,45:12.6
12,7,00:12.6
14,7,15:12.6
15,6,30:12.6
15,6,45:12.6
16,5,00:12.6
16,5,15:12.6
17,5,30:12.6
17,5,45:12.6
17,4,00:12.6
17,4,15:12.6
16,4,30:12.6
15,3,45:12.6
15,3,00:12.6
14,3,15:12.6
14,3,30:12.6
14,3,45:12.6
11,2,00:12.6
10,2,15:12.6
14,3,30:12.6
16,2,45:12.6
14,3,00:12.6
11,2,15:12.6
11,2,30:12.6
12,2,45:12.6
14,3,00:12.6
17,5,15:12.6
28,7,30:12.6
22,7,45:12.6
30,10,00:12.6
31,13,15:12.6
25,11,30:12.6
21,7,45:12.6
22,7,00:12.6
24,8,15:12.6
29,8,30:12.6
28,8,45:12.6
26,5,00:12.6
33,7,15:12.6
34,8,30:12.6
33,7,45:12.6
34,7,00:12.6
35,8,15:12.6
36,8,30:12.6
36,8,45:12.6
36,8,00:12.6
34,8,15:12.6
33,8,30:12.6
32,7,45:12.6
31,7,00:12.6
29,6,15:12.6
28,6,30:12.6
27,6,45:12.6
28,6,00:12.6
31,6,15:12.6
34,7,30:12.6
36,7,45:12.6
37,8,00:12.6
37,8,15:12.6
39,8,30:12.6
39,8,45:12.6
39,8,00:12.6
40,9,15:12.6
38,8,30:12.6
37,8,45:12.6
26,6,00:12.6
24,4,15:12.6
23,4,30:12.6
23,4,45:12.6
27,7,00:12.6
26,7,15:12.6
23,6,30:12.6
17,4,45:12.6
18,4,00:12.6
15,3,15:12.6
11,2,30:12.6
20,5,45:12.6
16,3,00:12.6
23,6,15:12.6
27,7,30:12.6
29,9,45:12.6
26,7,00:12.6
23,5,15:12.6
26,10,30:12.6
24,11,45:12.6
19,7,00:12.6
21,6,15:12.6
26,8,30:12.6
28,7,45:12.6
23,5,00:12.6
24,6,15:12.6
24,6,30:12.6
24,6,45:12.6
24,6,00:12.6
24,6,15:12.6
23,6,30:12.6
22,6,45:12.6
22,6,00:12.6
21,6,15:12.6
21,5,30:12.6
21,5,45:12.6
21,5,00:12.6
21,5,15:12.6
20,4,30:12.6
20,4,45:12.6
19,4,00:12.6
19,4,15:12.6
19,4,30:12.6
19,4,45:12.6
19,4,00:12.6
19,4,15:12.6
19,4,30:12.6
19,4,45:12.6
19,4,00:12.6
19,4,15:12.6
18,4,30:12.6
18,3,45:12.6
18,3,00:12.6
17,3,15:12.6
17,3,30:12.6
17,3,45:12.6
16,3,00:12.6
12,2,15:12.6
10,2,30:12.6
10,2,45:12.6
7,1,00:12.6
8,1,15:12.6
9,1,30:12.6
8,1,45:12.6
8,1,00:12.6
7,1,15:12.6
7,1,30:12.6
7,1,45:12.6
8,1,00:12.6
9,1,15:12.6
10,1,30:12.6
10,1,45:12.6
10,1,00:12.6
12,2,15:12.6
13,2,30:12.6
16,2,45:12.6
16,1,00:12.6
19,2,15:12.6
23,2,30:12.6
29,2,45:12.6
35,3,00:12.6
42,3,15:12.6
45,4,30:12.6
47,4,45:12.6
51,4,00:12.6
54,5,15:12.6
61,5,30:12.6
66,6,45:12.6
75,7,00:12.6
77,8,15:12.6
85,9,30:12.6
89,10,45:12.6
91,11,00:12.6
93,12,15:12.6
92,12,30:12.6
86,12,45:12.6
102,11,00:12.6
104,11,15:12.6
84,10,30:12.6
68,9,45:12.6
72,9,00:12.6
91,8,15:12.6
161,6,30:12.6
66,4,45:12.6
59,3,00:12.6
49,2,15:12.6
18,2,30:12.6
69,1,45:12.6
58,1,00:12.6
34,1,15:12.6
55,1,30:12.6
44,1,45:12.6
52,1,00:12.6
61,1,15:12.6
41,1,30:12.6
38,1,45:12.6
55,1,00:12.6
44,1,15:12.6
58,1,30:12.6
77,1,45:12.6
71,1,00:12.6
85,1,15:12.6
106,1,30:12.6
