mq2,mq4,Time,V_mq2,V_mq4
5,7,36:13.0,0.024,0.034
5,6,45:12.6,0.024,0.029
4,6,00:12.6,0.02,0.029
7,6,15:12.6,0.034,0.029
9,10,30:12.6,0.044,0.049
6,4,45:12.6,0.029,0.02
7,5,00:12.6,0.034,0.024
7,5,15:12.6,0.034,0.024
7,4,30:12.6,0.034,0.02
9,16,45:12.6,0.044,0.078
8,13,00:12.6,0.039,0.064
7,12,15:12.6,0.034,0.059
7,11,30:12.6,0.034,0.054
7,10,45:12.6,0.034,0.049
7,9,00:12.6,0.034,0.044
8,9,15:12.6,0.039,0.044
9,8,30:12.6,0.044,0.039
11,8,45:12.6,0.054,0.039
12,7,00:12.6,0.059,0.034
14,7,15:12.6,0.068,0.034
15,6,30:12.6,0.073,0.029
15,6,45:12.6,0.073,0.029
16,5,00:12.6,0.078,0.024
16,5,15:12.6,0.078,0.024
17,5,30:12.6,0.083,0.024
17,5,45:12.6,0.083,0.024
17,4,00:12.6,0.083,0.02
17,4,15:12.6,0.083,0.02
16,4,30:12.6,0.078,0.02
15,3,45:12.6,0.073,0.015
15,3,00:12.6,0.073,0.015
14,3,15:12.6,0.068,0.015
14,3,30:12.6,0.068,0.015
14,3,45:12.6,0.068,0.015
11,2,00:12.6,0.054,0.01
10,2,15:12.6,0.049,0.01
14,3,30:12.6,0.068,0.015
16,2,45:12.6,0.078,0.01
14,3,00:12.6,0.068,0.015
11,2,15:12.6,0.054,0.01
11,2,30:12.6,0.054,0.01
12,2,45:12.6,0.059,0.01
14,3,00:12.6,0.068,0.015
17,5,15:12.6,0.083,0.024
28,7,30:12.6,0.137,0.034
22,7,45:12.6,0.108,0.034
30,10,00:12.6,0.147,0.049
31,13,15:12.6,0.152,0.064
25,11,30:12.6,0.122,0.054
21,7,45:12.6,0.103,0.034
22,7,00:12.6,0.108,0.034
24,8,15:12.6,0.117,0.039
29,8,30:12.6,0.142,0.039
28,8,45:12.6,0.137,0.039
26,5,00:12.6,0.127,0.024
33,7,15:12.6,0.161,0.034
34,8,30:12.6,0.166,0.039
33,7,45:12.6,0.161,0.034
34,7,00:12.6,0.166,0.034
35,8,15:12.6,0.171,0.039
36,8,30:12.6,0.176,0.039
36,8,45:12.6,0.176,0.039
36,8,00:12.6,0.176,0.039
34,8,15:12.6,0.166,0.039
33,8,30:12.6,0.161,0.039
32,7,45:12.6,0.156,0.034
31,7,00:12.6,0.152,0.034
29,6,15:12.6,0.142,0.029
28,6,30:12.6,0.137,0.029
27,6,45:12.6,0.132,0.029
28,6,00:12.6,0.137,0.029
31,6,15:12.6,0.152,0.029
34,7,30:12.6,0.166,0.034
36,7,45:12.6,0.176,0.034
37,8,00:12.6,0.181,0.039
37,8,15:12.6,0.181,0.039
39,8,30:12.6,0.191,0.039
39,8,45:12.6,0.191,0.039
39,8,00:12.6,0.191,0.039
40,9,15:12.6,0.196,0.044
38,8,30:12.6,0.186,0.039
37,8,45:12.6,0.181,0.039
26,6,00:12.6,0.127,0.029
24,4,15:12.6,0.117,0.02
23,4,30:12.6,0.112,0.02
23,4,45:12.6,0.112,0.02
27,7,00:12.6,0.132,0.034
26,7,15:12.6,0.127,0.034
23,6,30:12.6,0.112,0.029
17,4,45:12.6,0.083,0.02
18,4,00:12.6,0.088,0.02
15,3,15:12.6,0.073,0.015
11,2,30:12.6,0.054,0.01
20,5,45:12.6,0.098,0.024
16,3,00:12.6,0.078,0.015
23,6,15:12.6,0.112,0.029
27,7,30:12.6,0.132,0.034
29,9,45:12.6,0.142,0.044
26,7,00:12.6,0.127,0.034
23,5,15:12.6,0.112,0.024
26,10,30:12.6,0.127,0.049
24,11,45:12.6,0.117,0.054
19,7,00:12.6,0.093,0.034
21,6,15:12.6,0.103,0.029
26,8,30:12.6,0.127,0.039
28,7,45:12.6,0.137,0.034
23,5,00:12.6,0.112,0.024
24,6,15:12.6,0.117,0.029
24,6,30:12.6,0.117,0.029
24,6,45:12.6,0.117,0.029
24,6,00:12.6,0.117,0.029
24,6,15:12.6,0.117,0.029
23,6,30:12.6,0.112,0.029
22,6,45:12.6,0.108,0.029
22,6,00:12.6,0.108,0.029
21,6,15:12.6,0.103,0.029
21,5,30:12.6,0.103,0.024
21,5,45:12.6,0.103,0.024
21,5,00:12.6,0.103,0.024
21,5,15:12.6,0.103,0.024
20,4,30:12.6,0.098,0.02
20,4,45:12.6,0.098,0.02
19,4,00:12.6,0.093,0.02
19,4,15:12.6,0.093,0.02
19,4,30:12.6,0.093,0.02
19,4,45:12.6,0.093,0.02
19,4,00:12.6,0.093,0.02
19,4,15:12.6,0.093,0.02
19,4,30:12.6,0.093,0.02
19,4,45:12.6,0.093,0.02
19,4,00:12.6,0.093,0.02
19,4,15:12.6,0.093,0.02
18,4,30:12.6,0.088,0.02
18,3,45:12.6,0.088,0.015
18,3,00:12.6,0.088,0.015
17,3,15:12.6,0.083,0.015
17,3,30:12.6,0.083,0.015
17,3,45:12.6,0.083,0.015
16,3,00:12.6,0.078,0.015
12,2,15:12.6,0.059,0.01
10,2,30:12.6,0.049,0.01
10,2,45:12.6,0.049,0.01
7,1,00:12.6,0.034,0.005
8,1,15:12.6,0.039,0.005
9,1,30:12.6,0.044,0.005
8,1,45:12.6,0.039,0.005
8,1,00:12.6,0.039,0.005
7,1,15:12.6,0.034,0.005
7,1,30:12.6,0.034,0.005
7,1,45:12.6,0.034,0.005
8,1,00:12.6,0.039,0.005
9,1,15:12.6,0.044,0.005
10,1,30:12.6,0.049,0.005
10,1,45:12.6,0.049,0.005
10,1,00:12.6,0.049,0.005
12,2,15:12.6,0.059,0.01
13,2,30:12.6,0.064,0.01
16,2,45:12.6,0.078,0.01
16,1,00:12.6,0.078,0.005
19,2,15:12.6,0.093,0.01
23,2,30:12.6,0.112,0.01
29,2,45:12.6,0.142,0.01
35,3,00:12.6,0.171,0.015
42,3,15:12.6,0.205,0.015
45,4,30:12.6,0.22,0.02
47,4,45:12.6,0.23,0.02
51,4,00:12.6,0.249,0.02
54,5,15:12.6,0.264,0.024
61,5,30:12.6,0.298,0.024
66,6,45:12.6,0.323,0.029
75,7,00:12.6,0.367,0.034
77,8,15:12.6,0.376,0.039
85,9,30:12.6,0.415,0.044
89,10,45:12.6,0.435,0.049
91,11,00:12.6,0.445,0.054
93,12,15:12.6,0.455,0.059
92,12,30:12.6,0.45,0.059
86,12,45:12.6,0.42,0.059
102,11,00:12.6,0.499,0.054
104,11,15:12.6,0.508,0.054
84,10,30:12.6,0.411,0.049
68,9,45:12.6,0.332,0.044
72,9,00:12.6,0.352,0.044
91,8,15:12.6,0.445,0.039
161,6,30:12.6,0.787,0.029
66,4,45:12.6,0.323,0.02
59,3,00:12.6,0.288,0.015
49,2,15:12.6,0.239,0.01
18,2,30:12.6,0.088,0.01
69,1,45:12.6,0.337,0.005
58,1,00:12.6,0.283,0.005
34,1,15:12.6,0.166,0.005
55,1,30:12.6,0.269,0.005
44,1,45:12.6,0.215,0.005
52,1,00:12.6,0.254,0.005
61,1,15:12.6,0.298,0.005
41,1,30:12.6,0.2,0.005
38,1,45:12.6,0.186,0.005
55,1,00:12.6,0.269,0.005
44,1,15:12.6,0.215,0.005
58,1,30:12.6,0.283,0.005
77,1,45:12.6,0.376,0.005
71,1,00:12.6,0.347,0.005
85,1,15:12.6,0.415,0.005
106,1,30:12.6,0.518,0.005
119,2,45:12.6,0.582,0.01
189,2,00:12.6,0.924,0.01
150,2,15:12.6,0.733,0.01
158,2,30:12.6,0.772,0.01
134,2,45:12.6,0.655,0.01
140,2,00:12.6,0.684,0.01
42,2,15:12.6,0.205,0.01
45,2,30:12.6,0.22,0.01
135,2,45:12.6,0.66,0.01
118,2,00:12.6,0.577,0.01
103,2,15:12.6,0.503,0.01
128,2,30:12.6,0.626,0.01
112,2,45:12.6,0.547,0.01
125,2,00:12.6,0.611,0.01
131,2,15:12.6,0.64,0.01
92,2,30:12.6,0.45,0.01
134,2,45:12.6,0.655,0.01
114,2,00:12.6,0.557,0.01
154,2,15:12.6,0.753,0.01
156,2,30:12.6,0.762,0.01
96,2,45:12.6,0.469,0.01
137,2,00:12.6,0.67,0.01
54,4,15:12.6,0.264,0.02
50,12,30:12.6,0.244,0.059
62,9,45:12.6,0.303,0.044
59,14,00:12.6,0.288,0.068
49,8,15:12.6,0.239,0.039
33,5,30:12.6,0.161,0.024
24,4,45:12.6,0.117,0.02
21,3,00:12.6,0.103,0.015
30,2,15:12.6,0.147,0.01
33,4,30:12.6,0.161,0.02
39,6,45:12.6,0.191,0.029
29,4,00:12.6,0.142,0.02
24,4,15:12.6,0.117,0.02
34,6,30:12.6,0.166,0.029
