mq2,mq4,Time,V_mq2,V_mq4,RS_mq2,RS_mq4,RSbyRO_mq2,RSbyRO_mq4
5,7,36:13.0,0.024,0.034,1036666.67,730294.12,1,0.852
5,6,45:12.6,0.024,0.029,1036666.67,857068.97,1,1
4,6,00:12.6,0.02,0.029,1245000,857068.97,1.201,1
7,6,15:12.6,0.034,0.029,730294.12,857068.97,0.704,1
9,10,30:12.6,0.044,0.049,563181.82,505204.08,0.543,0.589
6,4,45:12.6,0.029,0.02,857068.97,1245000,0.827,1.453
7,5,00:12.6,0.034,0.024,730294.12,1036666.67,0.704,1.21
7,5,15:12.6,0.034,0.024,730294.12,1036666.67,0.704,1.21
7,4,30:12.6,0.034,0.02,730294.12,1245000,0.704,1.453
9,16,45:12.6,0.044,0.078,563181.82,315512.82,0.543,0.368
8,13,00:12.6,0.039,0.064,636025.64,385625,0.614,0.45
7,12,15:12.6,0.034,0.059,730294.12,418728.81,0.704,0.489
7,11,30:12.6,0.034,0.054,730294.12,457962.96,0.704,0.534
7,10,45:12.6,0.034,0.049,730294.12,505204.08,0.704,0.589
7,9,00:12.6,0.034,0.044,730294.12,563181.82,0.704,0.657
8,9,15:12.6,0.039,0.044,636025.64,563181.82,0.614,0.657
9,8,30:12.6,0.044,0.039,563181.82,636025.64,0.543,0.742
11,8,45:12.6,0.054,0.039,457962.96,636025.64,0.442,0.742
12,7,00:12.6,0.059,0.034,418728.81,730294.12,0.404,0.852
14,7,15:12.6,0.068,0.034,362647.06,730294.12,0.35,0.852
15,6,30:12.6,0.073,0.029,337465.75,857068.97,0.326,1
15,6,45:12.6,0.073,0.029,337465.75,857068.97,0.326,1
16,5,00:12.6,0.078,0.024,315512.82,1036666.67,0.304,1.21
16,5,15:12.6,0.078,0.024,315512.82,1036666.67,0.304,1.21
17,5,30:12.6,0.083,0.024,296204.82,1036666.67,0.286,1.21
17,5,45:12.6,0.083,0.024,296204.82,1036666.67,0.286,1.21
17,4,00:12.6,0.083,0.02,296204.82,1245000,0.286,1.453
17,4,15:12.6,0.083,0.02,296204.82,1245000,0.286,1.453
16,4,30:12.6,0.078,0.02,315512.82,1245000,0.304,1.453
15,3,45:12.6,0.073,0.015,337465.75,1661666.67,0.326,1.939
15,3,00:12.6,0.073,0.015,337465.75,1661666.67,0.326,1.939
14,3,15:12.6,0.068,0.015,362647.06,1661666.67,0.35,1.939
