Time,mq2_ppm,mq4_ppm
0:00:00,3,6
0:10:00,4,9
0:20:00,5,10
0:30:00,6,10
0:40:00,9,17
0:50:00,11,25
1:00:00,12,32
1:10:00,14,40
1:20:00,14,46
1:30:00,15,54
1:40:00,16,62
1:50:00,16,68
2:00:00,16,73
2:10:00,16,79
2:20:00,16,85
2:30:00,16,90
2:40:00,16,96
2:50:00,16,99
3:00:00,16,104
3:10:00,16,107
3:20:00,16,111
3:30:00,16,114
3:40:00,15,115
3:50:00,15,118
4:00:00,15,119
4:10:00,15,122
4:20:00,15,125
4:30:00,15,128
4:40:00,15,130
4:50:00,14,131
5:00:00,14,140
5:10:00,14,142
5:20:00,14,145
5:30:00,14,145
5:40:00,14,147
5:50:00,14,149
6:00:00,14,149
6:10:00,14,151
6:20:00,14,151
6:30:00,13,152
6:40:00,13,152
6:50:00,13,152
7:00:00,13,152
7:10:00,13,154
7:20:00,13,154
7:30:00,13,154
7:40:00,13,154
7:50:00,13,154
8:00:00,13,154
8:10:00,12,154
8:20:00,12,156
8:30:00,12,156
8:40:00,12,154
8:50:00,12,156
9:00:00,12,156
9:10:00,12,156
9:20:00,12,156
9:30:00,12,154
9:40:00,12,156
9:50:00,12,156
10:00:00,12,156
10:10:00,12,156
10:20:00,11,156
10:30:00,11,156
10:40:00,11,156
10:50:00,11,156
11:00:00,11,156
11:10:00,11,156
11:20:00,11,156
11:30:00,11,154
11:40:00,11,156
11:50:00,11,156
12:00:00,11,156
12:10:00,11,156
12:20:00,11,156
12:30:00,11,156
12:40:00,10,156
12:50:00,10,156
13:00:00,10,156
13:10:00,10,156
13:20:00,10,156
13:30:00,10,156
13:40:00,10,156
13:50:00,10,158
14:00:00,10,158
14:10:00,10,158
14:20:00,10,158
14:30:00,10,158
14:40:00,10,158
14:50:00,10,158
15:00:00,10,158
15:10:00,10,160
15:20:00,10,160
15:30:00,10,160
15:40:00,10,160
15:50:00,9,158
16:00:00,9,161
16:10:00,9,160
16:20:00,9,160
16:30:00,9,161
16:40:00,9,161
16:50:00,9,161
17:00:00,9,160
17:10:00,9,160
17:20:00,9,160
17:30:00,9,160
17:40:00,9,160
17:50:00,9,160
18:00:00,9,161
18:10:00,9,161
18:20:00,9,161
18:30:00,9,161
18:40:00,9,163
18:50:00,9,163
19:00:00,9,163
19:10:00,9,165
19:20:00,9,165
19:30:00,9,165
19:40:00,9,165
19:50:00,9,165
20:00:00,9,165
20:10:00,9,165
20:20:00,8,165
20:30:00,8,165
20:40:00,8,167
20:50:00,8,169
21:00:00,8,171
21:10:00,8,171
21:20:00,8,171
21:30:00,8,173
21:40:00,8,173
21:50:00,8,173
22:00:00,8,175
22:10:00,8,175
22:20:00,8,175
22:30:00,8,177
22:40:00,8,177
22:50:00,8,179
23:00:00,8,181
23:10:00,8,181
23:20:00,8,183
23:30:00,8,183
23:40:00,8,185
23:50:00,8,188
0:00:00,8,188
0:10:00,8,190
0:20:00,8,190
0:30:00,8,192
0:40:00,8,192
0:50:00,8,194
1:00:00,8,194
1:10:00,8,196
1:20:00,8,196
1:30:00,8,199
1:40:00,8,199
1:50:00,8,201
2:00:00,8,201
2:10:00,8,203
2:20:00,8,203
2:30:00,8,206
2:40:00,8,206
2:50:00,8,208
3:00:00,8,208
3:10:00,8,208
3:20:00,8,211
3:30:00,8,211
3:40:00,8,213
3:50:00,8,211
4:00:00,8,211
4:10:00,8,211
4:20:00,8,211
4:30:00,8,213
4:40:00,8,213
4:50:00,8,213
5:00:00,8,213
