Time,Temp,Humidity,mq2_adc,mq2_v,mq2_Rs,mq2_Rs/Ro,mq2_GI,mq4_adc,mq4_v,mq4_Rs,mq4_Rs/Ro,mq4_GI

0:10:00,22.0,70,190,0.929,56424.8,0.980,0,132,0.645,6075.0,1.025,0
0:20:00,22.9,71,189,0.924,56791.4,0.982,0,128,0.626,6293.0,1.032,0
0:30:00,23.3,71,195,0.953,54648.0,0.975,0,131,0.640,6128.2,1.032,0
0:40:00,22.4,71,197,0.963,53962.5,0.968,1,132,0.645,6075.0,1.030,0
0:50:00,22.4,71,200,0.978,52960.0,0.959,2,132,0.645,6075.0,1.029,0
1:00:00,22.3,70,202,0.987,52308.3,0.949,3,132,0.645,6075.0,1.028,0
1:10:00,22.3,70,204,0.997,51669.3,0.939,4,133,0.650,6022.6,1.025,0
1:20:00,22.4,70,206,1.007,51042.7,0.929,5,133,0.650,6022.6,1.023,0
1:30:00,22.3,70,206,1.007,51042.7,0.921,6,133,0.650,6022.6,1.021,0
1:40:00,22.3,70,208,1.017,50428.1,0.912,7,132,0.645,6075.0,1.021,0
1:50:00,22.3,70,208,1.017,50428.1,0.906,8,132,0.645,6075.0,1.021,0
2:00:00,22.4,69,209,1.022,50125.3,0.899,9,132,0.645,6075.0,1.021,0
2:10:00,22.2,69,210,1.026,49825.3,0.893,9,132,0.645,6075.0,1.021,0
2:20:00,22.1,69,211,1.031,49528.2,0.887,10,132,0.645,6075.0,1.021,0
2:30:00,22.6,69,214,1.046,48653.4,0.879,11,136,0.665,5869.9,1.014,0
2:40:00,22.4,71,221,1.080,46704.7,0.866,12,146,0.714,5406.2,0.993,0
0:10:00,23.8,73,279,1.364,34320.0,1.013,0,231,1.129,3085.7,1.036,0
0:20:00,23.3,75,263,1.285,37190.9,1.030,0,210,1.026,3484.3,1.063,0
0:30:00,23.5,74,262,1.281,37381.9,1.045,0,207,1.012,3547.8,1.088,0
0:40:00,23.5,75,260,1.271,37768.5,1.058,0,205,1.002,3591.2,1.111,0
0:50:00,23.4,75,258,1.261,38161.0,1.071,0,204,0.997,3613.2,1.130,0
1:00:00,23.2,75,256,1.251,38559.7,1.084,0,200,0.978,3703.5,1.150,0
1:10:00,23.2,76,254,1.241,38964.7,1.096,0,199,0.973,3726.6,1.168,0
1:20:00,23.2,76,254,1.241,38964.7,1.105,0,198,0.968,3750.0,1.183,0
1:30:00,23.1,76,255,1.246,38761.4,1.111,0,198,0.968,3750.0,1.194,0
1:40:00,23.0,76,254,1.241,38964.7,1.116,0,196,0.958,3797.4,1.206,0
1:50:00,25.0,71,252,1.232,39376.1,1.123,0,193,0.943,3870.5,1.220,0
2:00:00,25.6,70,252,1.232,39376.1,1.128,0,193,0.943,3870.5,1.230,0
2:10:00,25.9,69,253,1.237,39169.6,1.130,0,193,0.943,3870.5,1.237,0
2:20:00,26.1,70,254,1.241,38964.7,1.131,0,194,0.948,3845.9,1.241,0
2:30:00,26.2,70,254,1.241,38964.7,1.131,0,195,0.953,3821.5,1.241,0
2:40:00,26.3,70,256,1.251,38559.7,1.128,0,195,0.953,3821.5,1.241,0
2:50:00,26.4,70,256,1.251,38559.7,1.126,0,196,0.958,3797.4,1.239,0
3:00:00,26.4,71,257,1.256,38359.6,1.122,0,197,0.963,3773.6,1.235,0
3:10:00,26.5,71,258,1.261,38161.0,1.118,0,198,0.968,3750.0,1.230,0
3:20:00,26.5,72,259,1.266,37964.0,1.114,0,198,0.968,3750.0,1.226,0
3:30:00,26.5,72,260,1.271,37768.5,1.109,0,198,0.968,3750.0,1.221,0
3:40:00,26.5,72,260,1.271,37768.5,1.105,0,199,0.973,3726.6,1.216,0
3:50:00,26.5,72,261,1.276,37574.5,1.100,0,199,0.973,3726.6,1.211,0
4:00:00,26.5,72,262,1.281,37381.9,1.095,0,199,0.973,3726.6,1.207,0
4:10:00,26.6,73,262,1.281,37381.9,1.091,0,199,0.973,3726.6,1.203,0
4:20:00,26.6,73,263,1.285,37190.9,1.086,0,199,0.973,3726.6,1.200,0
4:30:00,26.6,73,263,1.285,37190.9,1.082,0,199,0.973,3726.6,1.196,0
4:40:00,26.6,73,264,1.290,37001.3,1.078,0,199,0.973,3726.6,1.193,0
4:50:00,26.6,73,265,1.295,36813.1,1.073,0,200,0.978,3703.5,1.189,0
5:00:00,26.7,73,265,1.295,36813.1,1.070,0,200,0.978,3703.5,1.185,0
5:10:00,26.7,73,266,1.300,36626.3,1.065,0,200,0.978,3703.5,1.182,0
5:20:00,26.6,73,266,1.300,36626.3,1.062,0,200,0.978,3703.5,1.178,0
5:30:00,26.7,73,267,1.305,36440.9,1.058,0,201,0.982,3680.6,1.174,0
5:40:00,26.7,73,268,1.310,36256.9,1.054,0,201,0.982,3680.6,1.170,0
5:50:00,26.7,74,269,1.315,36074.3,1.049,0,201,0.982,3680.6,1.167,0
6:00:00,26.7,74,269,1.315,36074.3,1.045,0,201,0.982,3680.6,1.164,0
6:10:00,26.7,74,270,1.320,35893.0,1.041,0,201,0.982,3680.6,1.161,0
6:20:00,26.7,73,270,1.320,35893.0,1.038,0,202,0.987,3657.9,1.157,0
6:30:00,26.7,74,271,1.325,35713.1,1.034,0,201,0.982,3680.6,1.155,0
6:40:00,26.8,74,271,1.325,35713.1,1.031,0,201,0.982,3680.6,1.153,0
6:50:00,26.8,74,271,1.325,35713.1,1.029,0,201,0.982,3680.6,1.151,0
7:00:00,26.8,74,270,1.320,35893.0,1.028,0,200,0.978,3703.5,1.150,0
7:10:00,26.8,74,270,1.320,35893.0,1.027,0,200,0.978,3703.5,1.150,0
7:20:00,26.8,74,270,1.320,35893.0,1.026,0,200,0.978,3703.5,1.149,0
7:30:00,26.9,74,270,1.320,35893.0,1.026,0,200,0.978,3703.5,1.148,0
7:40:00,27.0,74,270,1.320,35893.0,1.025,0,199,0.973,3726.6,1.148,0
7:50:00,27.1,74,270,1.320,35893.0,1.025,0,199,0.973,3726.6,1.148,0
8:00:00,27.0,74,270,1.320,35893.0,1.024,0,199,0.973,3726.6,1.147,0
8:10:00,27.0,74,270,1.320,35893.0,1.024,0,199,0.973,3726.6,1.147,0
8:20:00,27.0,74,270,1.320,35893.0,1.023,0,198,0.968,3750.0,1.147,0
8:30:00,27.1,74,270,1.320,35893.0,1.023,0,198,0.968,3750.0,1.147,0
8:40:00,27.2,74,270,1.320,35893.0,1.023,0,198,0.968,3750.0,1.147,0
8:50:00,27.1,74,271,1.325,35713.1,1.021,0,198,0.968,3750.0,1.146,0
9:00:00,27.1,74,270,1.320,35893.0,1.021,0,196,0.958,3797.4,1.149,0
9:10:00,27.1,74,270,1.320,35893.0,1.021,0,196,0.958,3797.4,1.150,0
9:20:00,27.1,74,268,1.310,36256.9,1.023,0,194,0.948,3845.9,1.154,0
9:30:00,27.2,74,267,1.305,36440.9,1.026,0,193,0.943,3870.5,1.158,0
9:40:00,27.4,73,268,1.310,36256.9,1.027,0,193,0.943,3870.5,1.160,0
9:50:00,27.5,73,268,1.310,36256.9,1.027,0,192,0.938,3895.3,1.164,0
10:00:00,27.5,73,267,1.305,36440.9,1.029,0,192,0.938,3895.3,1.166,0
10:10:00,27.5,73,267,1.305,36440.9,1.030,0,191,0.934,3920.4,1.169,0
10:20:00,27.5,73,267,1.305,36440.9,1.031,0,191,0.934,3920.4,1.171,0
10:30:00,27.6,72,265,1.295,36813.1,1.034,0,188,0.919,3997.3,1.176,0
10:40:00,27.5,72,264,1.290,37001.3,1.037,0,188,0.919,3997.3,1.181,0
10:50:00,27.5,72,264,1.290,37001.3,1.039,0,187,0.914,4023.5,1.185,0
11:00:00,27.6,72,264,1.290,37001.3,1.041,0,186,0.909,4050.0,1.190,0
11:10:00,27.5,72,264,1.290,37001.3,1.042,0,187,0.914,4023.5,1.191,0
11:20:00,27.6,72,263,1.285,37190.9,1.044,0,186,0.909,4050.0,1.194,0
11:30:00,27.5,72,261,1.276,37574.5,1.048,0,183,0.894,4131.1,1.200,0
11:40:00,27.5,71,261,1.276,37574.5,1.051,0,184,0.899,4103.8,1.203,0
11:50:00,27.5,71,262,1.281,37381.9,1.052,0,184,0.899,4103.8,1.204,0
12:00:00,27.5,72,260,1.271,37768.5,1.055,0,182,0.890,4158.8,1.208,0
12:10:00,27.5,71,260,1.271,37768.5,1.057,0,182,0.890,4158.8,1.211,0
12:20:00,27.6,71,259,1.266,37964.0,1.060,0,181,0.885,4186.7,1.214,0
12:30:00,27.6,71,259,1.266,37964.0,1.062,0,182,0.890,4158.8,1.215,0
12:40:00,27.6,71,258,1.261,38161.0,1.064,0,183,0.894,4131.1,1.213,0
12:50:00,27.7,71,262,1.281,37381.9,1.062,0,187,0.914,4023.5,1.205,0
13:00:00,27.6,72,264,1.290,37001.3,1.058,0,191,0.934,3920.4,1.192,0
13:10:00,27.7,71,266,1.300,36626.3,1.052,0,195,0.953,3821.5,1.176,0
13:20:00,27.7,72,268,1.310,36256.9,1.045,0,198,0.968,3750.0,1.158,0
13:30:00,27.8,72,271,1.325,35713.1,1.037,0,202,0.987,3657.9,1.138,0
13:40:00,27.6,72,275,1.344,35006.4,1.026,0,206,1.007,3569.4,1.118,0
13:50:00,27.7,73,277,1.354,34660.7,1.016,0,208,1.017,3526.4,1.098,0
14:00:00,27.7,73,281,1.373,33984.1,1.004,0,214,1.046,3402.3,1.076,0
14:10:00,27.8,72,282,1.378,33818.0,0.993,0,215,1.051,3382.3,1.056,0
14:20:00,27.8,73,286,1.398,33165.0,0.981,0,220,1.075,3285.0,1.035,0
14:30:00,27.8,73,288,1.408,32845.3,0.970,1,223,1.090,3228.7,1.015,0
14:40:00,27.8,73,289,1.413,32687.1,0.960,2,224,1.095,3210.3,0.998,0
14:50:00,27.9,73,291,1.422,32374.0,0.951,3,226,1.105,3173.9,0.983,0
15:00:00,27.9,73,292,1.427,32219.1,0.942,4,228,1.114,3138.2,0.969,1
15:10:00,27.9,73,294,1.437,31912.3,0.934,5,230,1.124,3103.0,0.955,3
15:20:00,28.0,73,295,1.442,31760.5,0.926,6,232,1.134,3068.5,0.943,4
15:30:00,28.0,73,296,1.447,31609.8,0.919,6,234,1.144,3034.6,0.931,5
15:40:00,27.9,73,298,1.457,31311.2,0.912,7,237,1.158,2984.8,0.918,7
15:50:00,28.0,73,299,1.461,31163.5,0.905,8,239,1.168,2952.3,0.906,8
16:00:00,28.0,73,301,1.471,30870.9,0.898,9,241,1.178,2920.3,0.895,9
16:10:00,28.0,73,302,1.476,30726.1,0.892,9,243,1.188,2888.9,0.884,10
16:20:00,28.1,73,303,1.481,30582.2,0.886,10,245,1.197,2858.0,0.874,11
16:30:00,28.0,73,305,1.491,30297.2,0.880,11,249,1.217,2797.6,0.862,12
16:40:00,28.0,73,306,1.496,30156.2,0.874,11,250,1.222,2782.8,0.851,14
16:50:00,28.0,73,306,1.496,30156.2,0.869,12,250,1.222,2782.8,0.843,14
17:00:00,28.1,73,306,1.496,30156.2,0.865,12,251,1.227,2768.1,0.835,15
17:10:00,28.1,73,307,1.500,30016.0,0.862,12,252,1.232,2753.6,0.828,16
17:20:00,28.1,72,306,1.496,30156.2,0.859,13,250,1.222,2782.8,0.825,16
17:30:00,28.0,72,306,1.496,30156.2,0.858,13,250,1.222,2782.8,0.822,17
17:40:00,28.1,72,303,1.481,30582.2,0.859,13,248,1.212,2812.5,0.821,17
17:50:00,28.1,72,303,1.481,30582.2,0.859,13,247,1.207,2827.5,0.821,17
18:00:00,28.1,72,302,1.476,30726.1,0.861,13,247,1.207,2827.5,0.822,17
18:10:00,28.1,72,299,1.461,31163.5,0.864,12,243,1.188,2888.9,0.825,16
18:20:00,28.1,72,299,1.461,31163.5,0.867,12,241,1.178,2920.3,0.830,16
18:30:00,28.2,71,298,1.457,31311.2,0.870,12,241,1.178,2920.3,0.834,15
18:40:00,28.2,72,297,1.452,31460.0,0.874,11,240,1.173,2936.2,0.838,15
18:50:00,28.2,72,297,1.452,31460.0,0.876,11,239,1.168,2952.3,0.842,15
19:00:00,28.2,72,300,1.466,31016.7,0.876,11,250,1.222,2782.8,0.836,15
19:10:00,27.9,72,302,1.476,30726.1,0.874,11,242,1.183,2904.5,0.838,15
19:20:00,25.8,71,296,1.447,31609.8,0.878,11,231,1.129,3085.7,0.850,14
19:30:00,24.9,66,291,1.422,32374.0,0.885,10,223,1.090,3228.7,0.868,12
19:40:00,24.6,62,286,1.398,33165.0,0.895,9,216,1.056,3362.5,0.890,10
19:50:00,24.4,60,282,1.378,33818.0,0.907,8,211,1.031,3463.5,0.913,7
20:00:00,24.2,59,279,1.364,34320.0,0.919,6,208,1.017,3526.4,0.936,5
20:10:00,24.0,58,278,1.359,34489.7,0.930,5,208,1.017,3526.4,0.954,3
20:20:00,24.3,59,278,1.359,34489.7,0.938,4,209,1.022,3505.3,0.967,1
20:30:00,24.5,60,278,1.359,34489.7,0.945,4,209,1.022,3505.3,0.977,0
20:40:00,24.6,61,276,1.349,34832.9,0.953,3,208,1.017,3526.4,0.987,0
20:50:00,24.6,62,274,1.339,35181.1,0.960,2,205,1.002,3591.2,0.998,0
21:00:00,24.6,62,273,1.334,35357.1,0.968,1,204,0.997,3613.2,1.009,0
21:10:00,24.7,63,272,1.329,35534.5,0.975,1,203,0.992,3635.5,1.018,0
21:20:00,24.7,63,270,1.320,35893.0,0.982,0,201,0.982,3680.6,1.028,0
21:30:00,24.7,64,268,1.310,36256.9,0.990,0,199,0.973,3726.6,1.039,0
21:40:00,24.7,64,267,1.305,36440.9,0.998,0,197,0.963,3773.6,1.050,0
21:50:00,24.6,64,286,1.398,33165.0,0.985,0,199,0.973,3726.6,1.055,0
22:00:00,24.6,64,283,1.383,33653.0,0.978,0,197,0.963,3773.6,1.063,0
22:10:00,24.7,64,280,1.369,34151.5,0.975,1,195,0.953,3821.5,1.071,0
22:20:00,24.6,64,278,1.359,34489.7,0.975,1,194,0.948,3845.9,1.079,0
22:30:00,24.7,64,276,1.349,34832.9,0.977,0,193,0.943,3870.5,1.086,0
22:40:00,24.8,65,274,1.339,35181.1,0.980,0,192,0.938,3895.3,1.094,0
22:50:00,24.8,65,287,1.403,33004.6,0.970,1,194,0.948,3845.9,1.096,0
23:00:00,24.8,66,284,1.388,33489.2,0.966,2,193,0.943,3870.5,1.099,0
23:10:00,24.6,66,282,1.378,33818.0,0.964,2,191,0.934,3920.4,1.105,0
23:20:00,24.5,66,264,1.290,37001.3,0.980,0,137,0.670,5820.4,1.217,0
23:30:00,27.0,68,319,1.559,28402.8,0.945,4,165,0.806,4680.0,1.241,0
23:40:00,27.6,72,339,1.657,25967.8,0.903,8,177,0.865,4301.7,1.237,0
0:10:00,150.0,100,355,1.735,24217.4,0.939,4,184,0.899,4103.8,0.926,6
0:20:00,27.7,77,347,1.696,25072.4,0.945,4,169,0.826,4547.9,0.946,4
0:30:00,27.9,78,358,1.750,23906.6,0.942,4,178,0.870,4272.5,0.950,3
0:40:00,28.0,79,365,1.784,23201.3,0.933,5,184,0.899,4103.8,0.945,4
0:50:00,28.1,80,372,1.818,22522.5,0.921,6,190,0.929,3945.8,0.934,5
1:00:00,28.2,80,378,1.848,21960.7,0.907,8,197,0.963,3773.6,0.918,7
1:10:00,28.3,81,384,1.877,21416.5,0.892,9,202,0.987,3657.9,0.899,9
1:20:00,28.4,81,389,1.901,20975.8,0.876,11,207,1.012,3547.8,0.879,11
1:30:00,28.4,82,392,1.916,20716.8,0.862,12,211,1.031,3463.5,0.860,13
1:40:00,28.5,82,394,1.926,20546.3,0.849,14,213,1.041,3422.5,0.842,14
1:50:00,28.6,82,398,1.945,20210.4,0.836,15,218,1.065,3323.4,0.824,16
2:00:00,28.7,83,399,1.950,20127.5,0.824,16,218,1.065,3323.4,0.809,18
2:10:00,28.7,83,401,1.960,19962.9,0.814,17,220,1.075,3285.0,0.796,19
2:20:00,28.7,83,404,1.975,19719.1,0.804,18,224,1.095,3210.3,0.781,21
2:30:00,28.8,83,407,1.989,19478.9,0.795,20,227,1.109,3155.9,0.767,22
2:40:00,28.8,84,410,2.004,19242.2,0.785,21,230,1.124,3103.0,0.754,24
2:50:00,28.8,84,412,2.014,19086.3,0.776,21,232,1.134,3068.5,0.742,25
3:00:00,28.8,84,414,2.023,18932.0,0.767,22,234,1.144,3034.6,0.730,26
3:10:00,28.8,84,416,2.033,18779.1,0.760,23,236,1.153,3001.3,0.720,27
3:20:00,28.9,84,418,2.043,18627.6,0.752,24,238,1.163,2968.5,0.710,28
3:30:00,28.9,84,420,2.053,18477.6,0.745,25,240,1.173,2936.2,0.700,29
3:40:00,28.9,84,422,2.063,18329.1,0.738,25,241,1.178,2920.3,0.692,30
3:50:00,28.9,85,423,2.067,18255.3,0.732,26,243,1.188,2888.9,0.684,31
4:00:00,28.9,85,425,2.077,18108.8,0.726,27,245,1.197,2858.0,0.676,32
4:10:00,28.9,85,427,2.087,17963.7,0.720,27,246,1.202,2842.7,0.669,33
4:20:00,28.8,85,428,2.092,17891.7,0.715,28,248,1.212,2812.5,0.662,33
4:30:00,28.8,85,429,2.097,17820.0,0.710,28,249,1.217,2797.6,0.656,34
4:40:00,28.8,85,431,2.107,17677.6,0.705,29,250,1.222,2782.8,0.650,35
