Time,mq2_ppm,mq4_ppm
0:00:00,1,1
0:10:00,1,1
0:20:00,1,1
0:30:00,1,1
0:40:00,1,1
0:50:00,1,1
1:00:00,1,1
1:10:00,1,1
1:20:00,1,1
1:30:00,1,1
1:40:00,1,1
1:50:00,1,1
2:00:00,1,1
2:10:00,1,1
2:20:00,1,1
2:30:00,2,2
2:40:00,2,2
2:50:00,2,2
3:00:00,6,3
3:10:00,16,6
3:20:00,22,10
3:30:00,28,14
3:40:00,33,17
3:50:00,37,20
4:00:00,41,23
4:10:00,45,25
4:20:00,48,27
4:30:00,50,29
4:40:00,53,30
4:50:00,55,32
5:00:00,58,34
5:10:00,60,35
5:20:00,62,37
5:30:00,64,38
5:40:00,66,39
5:50:00,68,40
6:00:00,69,40
6:10:00,71,41
6:20:00,72,41
6:30:00,74,42
6:40:00,74,42
6:50:00,76,42
7:00:00,77,43
7:10:00,77,43
7:20:00,78,43
7:30:00,79,44
7:40:00,80,44
7:50:00,81,44
8:00:00,82,44
8:10:00,82,44
8:20:00,83,44
8:30:00,84,44
8:40:00,85,45
8:50:00,86,45
9:00:00,87,45
9:10:00,88,45
9:20:00,88,46
9:30:00,89,46
9:40:00,90,46
9:50:00,91,46
10:00:00,92,46
10:10:00,92,46
10:20:00,93,46
10:30:00,94,46
10:40:00,95,46
10:50:00,96,46
11:00:00,97,46
11:10:00,97,46
11:20:00,98,46
11:30:00,99,46
11:40:00,100,46
11:50:00,101,46
12:00:00,101,46
12:10:00,102,46
12:20:00,103,46
12:30:00,104,46
12:40:00,106,46
12:50:00,107,46
13:00:00,108,46
13:10:00,109,46
13:20:00,109,46
13:30:00,110,45
13:40:00,112,45
13:50:00,113,45
14:00:00,114,45
14:10:00,115,45
14:20:00,117,45
14:30:00,118,45
14:40:00,119,45
14:50:00,119,45
15:00:00,121,44
15:10:00,122,44
15:20:00,123,44
15:30:00,125,44
15:40:00,126,44
15:50:00,128,44
16:00:00,129,44
16:10:00,131,44
16:20:00,132,44
16:30:00,134,44
16:40:00,135,44
16:50:00,135,44
17:00:00,137,44
17:10:00,140,44
17:20:00,140,44
17:30:00,142,44
17:40:00,143,44
17:50:00,145,44
18:00:00,147,44
18:10:00,149,44
18:20:00,150,44
18:30:00,152,44
18:40:00,154,44
18:50:00,156,43
19:00:00,158,43
19:10:00,158,43
19:20:00,159,43
19:30:00,161,43
19:40:00,163,43
19:50:00,165,43
20:00:00,167,43
20:10:00,169,43
20:20:00,171,43
20:30:00,174,43
20:40:00,176,43
20:50:00,176,43
21:00:00,178,43
21:10:00,180,42
21:20:00,182,42
21:30:00,185,42
21:40:00,187,42
21:50:00,187,42
22:00:00,189,42
22:10:00,191,42
22:20:00,194,42
22:30:00,196,41
22:40:00,196,41
22:50:00,199,41
23:00:00,201,41
23:10:00,204,42
23:20:00,206,41
23:30:00,206,42
23:40:00,209,42
23:50:00,212,42
0:00:00,215,42
0:10:00,215,42
0:20:00,217,42
0:30:00,223,43
0:40:00,229,44
0:50:00,232,44
1:00:00,235,44
1:10:00,238,44
1:20:00,241,44
1:30:00,244,44
1:40:00,244,44
1:50:00,248,44
2:00:00,248,44
2:10:00,251,44
2:20:00,251,44
2:30:00,251,44
2:40:00,254,44
2:50:00,261,50
3:00:00,261,43
3:10:00,265,43
3:20:00,265,43
3:30:00,265,43
3:40:00,268,43
3:50:00,268,43
4:00:00,268,43
4:10:00,272,43
4:20:00,272,43
4:30:00,272,43
4:40:00,272,43
4:50:00,276,43
5:00:00,276,43
5:10:00,279,43
5:20:00,279,42
5:30:00,279,42
5:40:00,279,42
5:50:00,279,42
6:00:00,283,42
6:10:00,283,42
6:20:00,283,41
6:30:00,287,41
6:40:00,287,41
6:50:00,287,41
7:00:00,287,41
7:10:00,291,41
7:20:00,291,41
7:30:00,291,41
7:40:00,295,41
7:50:00,295,41
8:00:00,295,41
8:10:00,295,41
8:20:00,295,40
8:30:00,295,40
8:40:00,295,40
8:50:00,295,40
9:00:00,295,40
9:10:00,299,40
9:20:00,299,40
9:30:00,299,40
9:40:00,299,40
9:50:00,299,40
10:00:00,303,40
10:10:00,303,40
10:20:00,303,40
10:30:00,303,40
10:40:00,303,40
10:50:00,303,40
11:00:00,303,40
11:10:00,303,40
11:20:00,303,40
11:30:00,303,40
11:40:00,303,40
11:50:00,303,40
12:00:00,303,41
12:10:00,303,42
12:20:00,303,42
12:30:00,303,42
12:40:00,303,42
12:50:00,303,42
13:00:00,299,42
13:10:00,299,42
13:20:00,299,42
13:30:00,295,41
13:40:00,295,41
13:50:00,295,41
14:00:00,295,41
14:10:00,295,40
14:20:00,299,40
14:30:00,295,40
14:40:00,299,40
14:50:00,299,40
15:00:00,299,40
15:10:00,299,40
15:20:00,299,40
15:30:00,299,40
15:40:00,299,40
15:50:00,303,40
16:00:00,303,40
16:10:00,303,40
16:20:00,303,39
16:30:00,303,39
16:40:00,303,39
16:50:00,303,39
17:00:00,308,39
17:10:00,308,39
17:20:00,308,39
17:30:00,308,39
17:40:00,312,39
17:50:00,312,39
18:00:00,312,39
18:10:00,312,39
18:20:00,312,39
18:30:00,316,39
18:40:00,316,39
18:50:00,316,40
19:00:00,316,39
19:10:00,321,39
19:20:00,321,40
19:30:00,321,40
19:40:00,321,40
19:50:00,325,40
20:00:00,325,40
20:10:00,325,40
20:20:00,325,40
20:30:00,325,40
20:40:00,330,40
20:50:00,330,40
21:00:00,330,40
21:10:00,330,40
21:20:00,330,40
21:30:00,335,40
21:40:00,335,40
21:50:00,335,40
22:00:00,340,40
22:10:00,340,40
22:20:00,340,40
22:30:00,340,40
22:40:00,340,40
22:50:00,345,40
23:00:00,345,40
23:10:00,345,40
23:20:00,345,40
23:30:00,350,40
23:40:00,350,40
23:50:00,350,40
0:00:00,350,40
0:10:00,355,40
0:20:00,355,40
0:30:00,355,40
0:40:00,355,40
0:50:00,355,40
1:00:00,355,40
1:10:00,360,40
1:20:00,360,40
1:30:00,360,40
1:40:00,360,40
1:50:00,365,40
2:00:00,365,39
2:10:00,365,38
2:20:00,365,38
2:30:00,365,38
2:40:00,365,38
2:50:00,365,40
3:00:00,365,39
3:10:00,365,39
3:20:00,371,40
3:30:00,365,40
3:40:00,371,40
3:50:00,376,40
4:00:00,376,40
4:10:00,376,40
4:20:00,376,39
4:30:00,376,39
4:40:00,376,39
4:50:00,382,39
5:00:00,382,38
5:10:00,382,38
