Time,mq2_GI,mq4_GI,,,,,,,,,,,,
0:10:00,0,0,,,,,,,,,,,,
0:20:00,0,0,,,,,,,,,,,,
0:30:00,0,0,,,,,,,,,,,,
0:40:00,1,0,,,,,,,,,,,,
0:50:00,2,0,,,,,,,,,,,,
1:00:00,3,0,,,,,,,,,,,,
1:10:00,4,0,,,,,,,,,,,,
1:20:00,5,0,,,,,,,,,,,,
1:30:00,6,0,,,,,,,,,,,,
1:40:00,7,0,,,,,,,,,,,,
1:50:00,8,0,,,,,,,,,,,,
2:00:00,9,0,,,,,,,,,,,,
2:10:00,9,0,,,,,,,,,,,,
2:20:00,10,0,,,,,,,,,,,,
2:30:00,11,0,,,,,,,,,,,,
2:40:00,12,0,,,,,,,,,,,,
0:10:00,0,0,,,,,,,,,,,,
0:20:00,0,0,,,,,,,,,,,,
0:30:00,0,0,,,,,,,,,,,,
0:40:00,0,0,,,,,,,,,,,,
0:50:00,0,0,,,,,,,,,,,,
1:00:00,0,0,,,,,,,,,,,,
1:10:00,0,0,,,,,,,,,,,,
1:20:00,0,0,,,,,,,,,,,,
1:30:00,0,0,,,,,,,,,,,,
1:40:00,0,0,,,,,,,,,,,,
1:50:00,0,0,,,,,,,,,,,,
2:00:00,0,0,,,,,,,,,,,,
2:10:00,0,0,,,,,,,,,,,,
2:20:00,0,0,,,,,,,,,,,,
2:30:00,0,0,,,,,,,,,,,,
2:40:00,0,0,,,,,,,,,,,,
2:50:00,0,0,,,,,,,,,,,,
3:00:00,0,0,,,,,,,,,,,,
3:10:00,0,0,,,,,,,,,,,,
3:20:00,0,0,,,,,,,,,,,,
3:30:00,0,0,,,,,,,,,,,,
3:40:00,0,0,,,,,,,,,,,,
3:50:00,0,0,,,,,,,,,,,,
4:00:00,0,0,,,,,,,,,,,,
4:10:00,0,0,,,,,,,,,,,,
4:20:00,0,0,,,,,,,,,,,,
4:30:00,0,0,,,,,,,,,,,,
4:40:00,0,0,,,,,,,,,,,,
4:50:00,0,0,,,,,,,,,,,,
5:00:00,0,0,,,,,,,,,,,,
5:10:00,0,0,,,,,,,,,,,,
5:20:00,0,0,,,,,,,,,,,,
5:30:00,0,0,,,,,,,,,,,,
5:40:00,0,0,,,,,,,,,,,,
5:50:00,0,0,,,,,,,,,,,,
6:00:00,0,0,,,,,,,,,,,,
6:10:00,0,0,,,,,,,,,,,,
6:20:00,0,0,,,,,,,,,,,,
6:30:00,0,0,,,,,,,,,,,,
6:40:00,0,0,,,,,,,,,,,,
6:50:00,0,0,,,,,,,,,,,,
7:00:00,0,0,,,,,,,,,,,,
7:10:00,0,0,,,,,,,,,,,,
7:20:00,0,0,,,,,,,,,,,,
7:30:00,0,0,,,,,,,,,,,,
7:40:00,0,0,,,,,,,,,,,,
7:50:00,0,0,,,,,,,,,,,,
8:00:00,0,0,,,,,,,,,,,,
8:10:00,0,0,,,,,,,,,,,,
8:20:00,0,0,,,,,,,,,,,,
8:30:00,0,0,,,,,,,,,,,,
8:40:00,0,0,,,,,,,,,,,,
8:50:00,0,0,,,,,,,,,,,,
9:00:00,0,0,,,,,,,,,,,,
9:10:00,0,0,,,,,,,,,,,,
9:20:00,0,0,,,,,,,,,,,,
9:30:00,0,0,,,,,,,,,,,,
9:40:00,0,0,,,,,,,,,,,,
9:50:00,0,0,,,,,,,,,,,,
10:00:00,0,0,,,,,,,,,,,,
10:10:00,0,0,,,,,,,,,,,,
10:20:00,0,0,,,,,,,,,,,,
10:30:00,0,0,,,,,,,,,,,,
10:40:00,0,0,,,,,,,,,,,,
10:50:00,0,0,,,,,,,,,,,,
11:00:00,0,0,,,,,,,,,,,,
11:10:00,0,0,,,,,,,,,,,,
11:20:00,0,0,,,,,,,,,,,,
11:30:00,0,0,,,,,,,,,,,,
11:40:00,0,0,,,,,,,,,,,,
11:50:00,0,0,,,,,,,,,,,,
12:00:00,0,0,,,,,,,,,,,,
12:10:00,0,0,,,,,,,,,,,,
12:20:00,0,0,,,,,,,,,,,,
