Time,mq2_GI,mq4_GI
0:00:00,0,0
0:10:00,0,0
0:20:00,0,0
0:30:00,1,0
0:40:00,2,0
0:50:00,3,0
1:00:00,4,0
1:10:00,5,0
1:20:00,6,0
1:30:00,7,0
1:40:00,8,0
1:50:00,9,0
2:00:00,9,0
2:10:00,10,0
2:20:00,11,0
2:30:00,12,0
2:40:00,0,0
2:50:00,0,0
3:00:00,0,0
3:10:00,0,0
3:20:00,0,0
3:30:00,0,0
3:40:00,0,0
3:50:00,0,0
4:00:00,0,0
4:10:00,0,0
4:20:00,0,0
4:30:00,0,0
4:40:00,0,0
4:50:00,0,0
5:00:00,0,0
5:10:00,0,0
5:20:00,0,0
5:30:00,0,0
5:40:00,0,0
5:50:00,0,0
6:00:00,0,0
6:10:00,0,0
6:20:00,0,0
6:30:00,0,0
6:40:00,0,0
6:50:00,0,0
7:00:00,0,0
7:10:00,0,0
7:20:00,0,0
7:30:00,0,0
7:40:00,0,0
7:50:00,0,0
8:00:00,0,0
8:10:00,0,0
8:20:00,0,0
8:30:00,0,0
8:40:00,0,0
8:50:00,0,0
9:00:00,0,0
9:10:00,0,0
9:20:00,0,0
9:30:00,0,0
9:40:00,0,0
9:50:00,0,0
10:00:00,0,0
10:10:00,0,0
10:20:00,0,0
10:30:00,0,0
10:40:00,0,0
10:50:00,0,0
11:00:00,0,0
11:10:00,0,0
11:20:00,0,0
11:30:00,0,0
11:40:00,0,0
11:50:00,0,0
12:00:00,0,0
12:10:00,0,0
12:20:00,0,0
12:30:00,0,0
12:40:00,0,0
12:50:00,0,0
13:00:00,0,0
13:10:00,0,0
13:20:00,0,0
13:30:00,0,0
13:40:00,0,0
13:50:00,0,0
14:00:00,0,0
14:10:00,0,0
14:20:00,0,0
14:30:00,0,0
14:40:00,0,0
14:50:00,0,0
15:00:00,0,0
15:10:00,0,0
15:20:00,0,0
15:30:00,0,0
15:40:00,0,0
15:50:00,0,0
16:00:00,0,0
16:10:00,0,0
16:20:00,0,0
16:30:00,0,0
16:40:00,0,0
16:50:00,0,0
17:00:00,1,0
17:10:00,2,0
17:20:00,3,0
17:30:00,4,1
17:40:00,5,3
17:50:00,6,4
18:00:00,6,5
18:10:00,7,7
18:20:00,8,8
18:30:00,9,9
18:40:00,9,10
18:50:00,10,11
19:00:00,11,12
19:10:00,11,14
19:20:00,12,14
19:30:00,12,15
19:40:00,12,16
19:50:00,13,16
20:00:00,13,17
20:10:00,13,17
20:20:00,13,17
20:30:00,13,17
20:40:00,12,16
20:50:00,12,16
21:00:00,12,15
21:10:00,11,15
21:20:00,11,15
21:30:00,11,15
21:40:00,11,15
21:50:00,11,14
22:00:00,10,12
22:10:00,9,10
22:20:00,8,7
22:30:00,6,5
22:40:00,5,3
22:50:00,4,1
23:00:00,4,0
23:10:00,3,0
23:20:00,2,0
23:30:00,1,0
23:40:00,1,0
23:50:00,0,0
0:00:00,0,0
0:10:00,0,0
0:20:00,0,0
0:30:00,0,0
0:40:00,1,0
0:50:00,1,0
1:00:00,0,0
1:10:00,0,0
1:20:00,1,0
1:30:00,2,0
1:40:00,2,0
1:50:00,0,0
2:00:00,4,0
2:10:00,8,0
2:20:00,4,6
2:30:00,4,4
2:40:00,4,3
2:50:00,5,4
3:00:00,6,5
3:10:00,8,7
3:20:00,9,9
3:30:00,11,11
3:40:00,12,13
