Time,mq2_ppm,mq4_ppm
600000,3,6
600000,4,9
600000,5,10
1200000,6,10
1800000,9,17
2400000,11,25
3000000,12,32
3600000,14,40
4200000,14,46
4800000,15,54
5400000,16,62
6000000,16,68
6600000,16,73
7200000,16,79
7800000,16,85
8400000,16,90
9000000,16,96
9600000,16,99
10200000,16,104
10800000,16,107
11400000,16,111
12000000,16,114
12600000,15,115
13200000,15,118
13800000,15,119
14400000,15,122
15000000,15,125
15600000,15,128
16200000,15,130
16800000,14,131
17400000,14,140
18000000,14,142
18600000,14,145
19200000,14,145
19800000,14,147
20400000,14,149
21000000,14,149
21600000,14,151
22200000,14,151
22800000,13,152
23400000,13,152
24000000,13,152
24600000,13,152
25200000,13,154
25800000,13,154
26400000,13,154
27000000,13,154
27600000,13,154
28200000,13,154
28800000,12,154
29400000,12,156
30000000,12,156
30600000,12,154
31200000,12,156
31800000,12,156
32400000,12,156
33000000,12,156
33600000,12,154
34200000,12,156
34800000,12,156
35400000,12,156
36000000,12,156
36600000,11,156
37200000,11,156
37800000,11,156
38400000,11,156
39000000,11,156
39600000,11,156
40200000,11,156
40800000,11,154
41400000,11,156
42000000,11,156
42600000,11,156
43200000,11,156
43800000,11,156
44400000,11,156
45000000,10,156
45600000,10,156
46200000,10,156
46800000,10,156
47400000,10,156
48000000,10,156
48600000,10,156
49200000,10,158
49800000,10,158
50400000,10,158
51000000,10,158
51600000,10,158
52200000,10,158
52800000,10,158
53400000,10,158
54000000,10,160
54600000,10,160
55200000,10,160
55800000,10,160
56400000,9,158
57000000,9,161
57600000,9,160
58200000,9,160
58800000,9,161
59400000,9,161
60000000,9,161
60600000,9,160
61200000,9,160
61800000,9,160
62400000,9,160
63000000,9,160
63600000,9,160
64200000,9,161
64800000,9,161
65400000,9,161
66000000,9,161
66600000,9,163
67200000,9,163
67800000,9,163
68400000,9,165
69000000,9,165
69600000,9,165
70200000,9,165
70800000,9,165
71400000,9,165
72000000,9,165
72600000,8,165
73200000,8,165
73800000,8,167
74400000,8,169
75000000,8,171
75600000,8,171
76200000,8,171
76800000,8,173
77400000,8,173
78000000,8,173
78600000,8,175
79200000,8,175
79800000,8,175
80400000,8,177
81000000,8,177
81600000,8,179
82200000,8,181
82800000,8,181
83400000,8,183
84000000,8,183
84600000,8,185
85200000,8,188
85800000,8,188
86400000,8,190
87000000,8,190
87600000,8,192
88200000,8,192
88800000,8,194
89400000,8,194
