time_ms,mq2_adc,mq2_V,mq2_Rs,mq2_Rs_R0,mq2_ppm,mq4_adc,mq4_V,mq4_Rs,mq4_Rs_R0,mq4_ppm,tempC,hum

600000,376,1.838,24417,3.4882,3,231,1.129,3154,5.7351,6,22.40,70.3
600000,400,1.955,22101,3.1573,4,258,1.261,2728,4.9598,9,22.90,73.0
600000,429,2.097,19648,2.8068,5,264,1.290,2645,4.8091,10,23.20,74.7
1200000,463,2.263,17163,2.4518,6,267,1.305,2605,4.7363,10,27.20,70.8
1800000,496,2.424,15077,2.1538,9,301,1.471,2207,4.0123,17,29.70,70.6
2400000,520,2.542,13726,1.9609,11,330,1.613,1932,3.5127,25,30.30,72.9
3000000,535,2.615,12943,1.8491,12,351,1.716,1761,3.2025,32,30.50,74.6
3600000,547,2.674,12348,1.7640,14,367,1.794,1644,2.9899,40,30.60,75.9
4200000,554,2.708,12013,1.7161,14,380,1.857,1557,2.8304,46,30.60,76.8
4800000,560,2.737,11732,1.6760,15,393,1.921,1475,2.6815,54,30.70,77.4
5400000,564,2.757,11548,1.6497,16,403,1.970,1415,2.5734,62,30.70,77.7
6000000,566,2.766,11457,1.6368,16,411,2.009,1370,2.4908,68,30.70,77.8
6600000,566,2.766,11457,1.6368,16,417,2.038,1337,2.4309,73,30.70,77.9
7200000,566,2.766,11457,1.6368,16,424,2.072,1300,2.3631,79,30.80,78.1
7800000,567,2.771,11412,1.6303,16,430,2.102,1269,2.3068,85,30.80,78.2
8400000,567,2.771,11412,1.6303,16,435,2.126,1244,2.2611,90,31.10,77.7
9000000,566,2.766,11457,1.6368,16,440,2.151,1219,2.2164,96,31.40,77.4
9600000,565,2.761,11503,1.6432,16,443,2.165,1205,2.1900,99,31.50,77.3
10200000,564,2.757,11548,1.6497,16,447,2.185,1186,2.1555,104,31.60,77.4
10800000,563,2.752,11594,1.6563,16,450,2.199,1171,2.1299,107,31.70,77.4
11400000,563,2.752,11594,1.6563,16,453,2.214,1158,2.1048,111,31.80,77.5
12000000,562,2.747,11640,1.6628,16,455,2.224,1148,2.0882,114,31.90,77.6
12600000,560,2.737,11732,1.6760,15,456,2.229,1144,2.0799,115,31.90,77.8
13200000,559,2.732,11778,1.6826,15,458,2.239,1135,2.0635,118,32.00,77.8
13800000,558,2.727,11825,1.6893,15,459,2.243,1130,2.0554,119,32.10,77.9
14400000,557,2.722,11872,1.6960,15,461,2.253,1122,2.0392,122,32.20,78.1
15000000,557,2.722,11872,1.6960,15,463,2.263,1113,2.0232,125,32.20,78.2
15600000,556,2.717,11919,1.7027,15,465,2.273,1104,2.0073,128,32.30,78.3
16200000,555,2.713,11966,1.7094,15,466,2.278,1100,1.9994,130,32.30,78.4
16800000,554,2.708,12013,1.7161,14,467,2.283,1095,1.9915,131,32.40,78.6
17400000,554,2.708,12013,1.7161,14,473,2.312,1070,1.9450,140,32.40,78.7
18000000,554,2.708,12013,1.7161,14,474,2.317,1066,1.9374,142,32.40,78.8
18600000,552,2.698,12108,1.7297,14,476,2.326,1057,1.9222,145,32.50,79.0
19200000,552,2.698,12108,1.7297,14,476,2.326,1057,1.9222,145,32.60,79.1
19800000,550,2.688,12203,1.7433,14,477,2.331,1053,1.9147,147,32.60,79.2
20400000,550,2.688,12203,1.7433,14,478,2.336,1049,1.9072,149,32.60,79.3
21000000,549,2.683,12251,1.7502,14,478,2.336,1049,1.9072,149,32.70,79.3
21600000,548,2.678,12300,1.7571,14,479,2.341,1045,1.8997,151,32.70,79.4
22200000,547,2.674,12348,1.7640,14,479,2.341,1045,1.8997,151,32.80,79.5
22800000,546,2.669,12397,1.7710,13,480,2.346,1041,1.8923,152,32.80,79.6
23400000,545,2.664,12446,1.7779,13,480,2.346,1041,1.8923,152,32.90,79.7
24000000,545,2.664,12446,1.7779,13,480,2.346,1041,1.8923,152,32.90,79.7
24600000,544,2.659,12495,1.7849,13,480,2.346,1041,1.8923,152,33.00,79.8
25200000,543,2.654,12544,1.7919,13,481,2.351,1037,1.8849,154,33.00,79.8
25800000,542,2.649,12593,1.7990,13,481,2.351,1037,1.8849,154,33.00,79.9
26400000,541,2.644,12642,1.8061,13,481,2.351,1037,1.8849,154,33.10,79.9
27000000,541,2.644,12642,1.8061,13,481,2.351,1037,1.8849,154,33.10,79.9
27600000,539,2.634,12742,1.8203,13,481,2.351,1037,1.8849,154,33.20,80.0
28200000,539,2.634,12742,1.8203,13,481,2.351,1037,1.8849,154,33.20,80.0
28800000,538,2.630,12792,1.8274,12,481,2.351,1037,1.8849,154,33.20,80.1
29400000,537,2.625,12842,1.8346,12,482,2.356,1033,1.8775,156,33.30,80.1
30000000,537,2.625,12842,1.8346,12,482,2.356,1033,1.8775,156,33.30,80.2
30600000,536,2.620,12893,1.8418,12,481,2.351,1037,1.8849,154,33.40,80.2
